Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;146;1;199;224;183;111;288;186;3;149;210;78;1;0;99;0;156;218;;187;1;126;0;166;211;137;;;0;0;28;49;95;73;9;60;0;1;109;183;148;0;201;243;169
2;196;7;219;244;231;145;0;233;2;200;226;135;54;1;183;0;190;248;221;;0;163;2;193;237;191;;;1;0;10;72;120;84;14;70;0;0;129;217;212;0;228;306;197
3;230;19;262;251;247;178;1;246;9;226;234;150;105;211;228;1;250;269;236;170;;170;0;242;253;216;1;;0;1;8;90;130;101;24;87;0;1;148;234;234;3;255;377;218
4;234;33;272;280;262;186;23;261;29;279;240;164;135;5;251;3;280;282;247;182;19;;1;268;288;220;14;;0;0;6;111;142;109;16;103;1;1;174;254;249;7;271;453;245
5;256;41;286;293;278;197;45;271;51;300;274;177;184;11;272;18;292;296;275;201;22;260;;271;299;248;23;;4;16;5;153;157;121;17;112;20;0;204;265;267;19;280;116;260
6;265;80;288;301;285;224;53;279;79;309;287;224;195;16;279;44;300;303;293;228;42;266;54;;299;259;58;;31;86;7;188;191;133;14;124;30;0;221;272;282;30;281;135;263
7;284;93;307;304;297;241;77;287;101;317;297;234;254;29;279;53;309;307;297;259;66;266;62;298;;260;86;;68;104;0;213;200;147;13;151;43;4;240;276;291;48;291;139;269
8;290;103;316;326;299;252;114;295;109;321;318;250;276;96;281;65;317;313;324;276;95;272;74;305;317;;90;;135;116;9;229;224;172;19;154;51;3;257;282;298;73;295;147;270
9;303;121;322;326;316;255;134;303;132;329;320;302;284;122;304;71;321;316;325;288;121;283;95;314;328;286;;;200;132;8;240;244;196;19;191;59;3;260;290;299;96;302;205;278
10;306;154;330;331;318;272;139;308;150;333;321;302;295;159;313;134;326;318;328;296;139;296;128;322;331;290;142;;207;143;0;244;267;215;23;210;97;0;269;293;302;105;306;211;281
