Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;2;0;0;8;0;0;0;5;4;;;;;;;;;;;;;;;;;;1;;0;0;3;2;4;18;2;1;33;1;;;;;;;
2;3;0;0;8;4;0;0;10;5;;;;;;;;;;;;;;;;;;6;0;;;2;2;3;21;3;4;38;0;;;;;;;
3;8;1;6;10;5;1;0;16;9;;;;;;;;;;;;;;;;;;15;;1;1;5;7;7;24;9;5;37;1;;;;;;;
4;9;4;10;17;3;6;3;23;16;;;;;;;;;;;;;;;;;;20;0;1;2;2;9;11;24;9;6;42;1;;;;;;;
5;13;5;17;20;7;6;3;28;21;;;;;;;;;;;;;;;;;;21;0;1;0;3;15;9;24;9;8;43;2;;;;;;;
6;15;6;17;25;22;13;6;30;29;;;;;;;;;;;;;;;;;;27;0;1;0;2;11;9;22;11;10;44;0;;;;;;;
7;18;11;23;25;22;17;2;33;28;;;;;;;;;;;;;;;;;;29;;1;0;2;18;13;27;9;14;40;0;;;;;;;
8;18;11;24;28;22;20;8;33;29;;;;;;;;;;;;;;;;;;29;0;2;26;2;18;17;30;9;19;40;1;;;;;;;
9;23;17;28;32;28;21;8;34;32;;;;;;;;;;;;;;;;;;;0;2;41;5;26;28;33;7;33;40;2;;;;;;;
10;23;21;29;32;28;28;8;36;33;;;;;;;;;;;;;;;;;;39;;2;45;3;32;33;38;7;33;45;3;;;;;;;
