Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;13;21;;;;;;26;28;;;;;;;;;;;;;;;;;;;;;0;10;;22;29;27;18;33;25;;;;;10;9;
2;20;23;;;;;;27;29;;;;;;;;;;;;;;;;;;;;0;;4;;27;30;29;25;37;28;;;;;15;12;
3;25;23;;;;;;31;30;;;;;;;;;;;;;;;;;;;;0;;4;;30;30;32;27;36;28;;;;;19;18;
4;25;23;;;;;;37;31;;;;;;;;;;;;;;;;;;;0;0;;8;;37;30;33;29;37;28;;;;;21;23;
5;35;24;;;;;;37;34;;;;;;;;;;;;;;;;;;;2;0;;14;;39;34;29;27;40;28;;;;;21;25;
6;35;24;;;;;;37;36;;;;;;;;;;;;;;;;;;;0;0;0;19;;44;34;33;27;40;31;;;;;22;26;
7;35;32;;;;;;39;39;;;;;;;;;;;;;;;;;;;6;5;2;26;;;42;34;27;40;31;;;;;26;26;
8;35;39;;;;;;41;39;;;;;;;;;;;;;;;;;;;11;14;12;28;;;;37;27;40;31;;;;;26;26;
9;36;41;;;;;;42;41;;;;;;;;;;;;;;;;;;;13;14;16;31;;;;;31;38;31;;;;;26;26;
10;40;43;;;;;;42;41;;;;;;;;;;;;;;;;;;;;14;22;30;;;;;31;38;31;;;;;26;27;
