Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;21;51;;;;;;16;89;;;;;;;;;;;;;;;;;;;;;1;0;;44;37;5;0;76;0;;;;;0;0;
2;48;83;;;;;;78;109;;;;;;;;;;;;;;;;;;;;0;;3;;76;72;41;1;125;0;;;;;18;0;
3;80;107;;;;;;117;164;;;;;;;;;;;;;;;;;;;;0;;0;;125;126;67;0;142;0;;;;;29;22;
4;92;130;;;;;;157;199;;;;;;;;;;;;;;;;;;;0;0;;7;;184;172;107;1;156;3;;;;;47;47;
5;156;133;;;;;;206;228;;;;;;;;;;;;;;;;;;;0;0;;2;;241;232;168;3;178;1;;;;;78;63;
6;171;180;;;;;;222;245;;;;;;;;;;;;;;;;;;;0;0;0;8;;348;255;246;2;193;1;;;;;83;84;
7;199;203;;;;;;236;255;;;;;;;;;;;;;;;;;;;0;0;0;7;;;350;281;1;202;5;;;;;93;89;
8;215;221;;;;;;247;258;;;;;;;;;;;;;;;;;;;2;0;0;4;;;;353;1;214;8;;;;;107;96;
9;245;239;;;;;;262;269;;;;;;;;;;;;;;;;;;;0;0;0;6;;;;;3;221;27;;;;;121;106;
10;255;246;;;;;;274;280;;;;;;;;;;;;;;;;;;;;0;0;47;;;;;1;242;33;;;;;130;119;
