Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;0;0;0;4704;0;0;;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;5451;0;;;0;0;0;0;6404;0;0;2802;0;0;0;0;0;0;5104;0
2;0;0;0;0;5104;0;;0;0;0;0;0;0;0;;0;0;0;5451;;;0;0;0;0;0;0;;0;;;;0;0;0;0;0;0;0;0;;;0;0;0
3;0;0;4704;4704;5104;4704;0;0;0;0;4150;4104;5504;5504;0;4624;0;4704;5104;5504;;0;4624;5504;4704;5104;0;;;;6404;6404;5104;6404;6404;5104;0;0;0;5104;6404;6404;5104;4104;0
4;0;0;4770;4204;4210;4770;5586;0;0;4770;4204;3904;4770;5586;0;4752;0;4770;4210;5586;0;;4752;5586;4770;5252;0;6506;;;6506;6506;5252;6506;6506;5252;0;6506;0;5252;6506;6506;5252;3904;0
5;0;0;4204;3896;4210;4770;5586;0;0;4204;3896;3904;4770;5586;0;3896;5586;4204;4210;5586;0;0;;5586;4204;4210;5981;6506;;0;6506;6506;5252;6506;6506;5252;0;6506;0;0;6506;6506;5252;3904;5586
6;0;0;4204;3896;3904;4204;4770;0;0;3896;3716;3680;4770;5586;0;3896;5586;3896;3904;4770;0;0;4752;;4204;4210;5981;6506;6506;0;6506;6506;5252;6506;6506;5252;2802;6506;0;0;6506;6506;5252;3904;0
7;0;0;3896;3896;3680;4204;4770;0;0;3716;3544;3436;4770;5586;4752;3644;4770;3716;3680;4770;;0;3896;4770;;4210;4770;6506;6506;0;6506;6506;5252;6506;6506;5252;2802;6506;0;5252;6506;6506;4210;3904;5586
8;0;0;3896;3716;3680;3896;4204;0;0;3716;3450;3436;4204;5586;4752;3644;4770;3716;3680;4770;0;0;3896;4770;3716;;4770;6506;6506;0;6506;6506;5252;6506;6506;5252;2802;6506;0;5252;6506;6506;4210;3680;5586
9;0;0;3896;3544;3436;3896;4204;0;0;3716;3450;3436;3896;5586;4752;3644;4770;3716;3436;4204;0;0;3896;4770;3716;3904;;6506;6506;0;6506;6506;5252;6506;6506;5252;2802;6506;0;4210;6506;6506;4210;3680;5586
10;0;0;3760;3584;3510;3760;4258;0;0;3584;3488;3384;3944;4836;4880;3504;4836;3760;3510;4258;0;0;3988;4836;3760;3998;4258;;6608;0;6608;6608;5400;4816;6608;5400;2802;4816;0;4316;6608;6608;4316;3764;4836
