Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;29;46;28;26;17;12;20;29;45;32;23;24;2;9;15;25;23;16;;0;6;21;28;13;13;20;19;0;3;;7;19;9;15;3;22;38;29;25;19;8;0;32;37;10
2;29;42;25;28;22;22;24;29;41;29;23;29;10;20;24;27;22;20;21;;2;28;24;14;14;21;21;0;0;0;4;20;10;15;5;22;41;26;27;23;15;9;34;33;12
3;29;42;24;31;22;27;30;32;43;29;24;30;14;28;27;28;30;21;23;27;;28;27;21;15;22;26;4;0;0;11;19;11;22;8;27;41;26;28;27;16;9;36;34;16
4;29;42;28;36;23;28;34;33;43;29;24;32;14;31;30;29;34;27;26;28;11;;29;29;23;23;26;10;0;0;11;19;18;23;10;27;41;28;29;27;16;15;37;38;21
5;34;42;33;40;25;28;37;42;43;42;37;32;17;31;33;31;38;34;30;28;8;30;;30;31;26;26;10;0;0;13;22;21;23;12;27;41;28;30;32;18;16;37;38;24
6;34;42;33;40;29;34;37;42;43;42;43;33;17;31;38;31;39;34;34;28;8;30;38;;31;29;33;13;1;5;15;23;24;22;12;27;41;30;30;31;18;16;37;38;27
7;34;42;33;40;37;38;39;42;43;42;44;33;23;33;39;33;41;35;37;32;21;33;39;34;;29;34;18;4;23;19;22;27;24;12;27;41;33;30;31;21;17;38;38;28
8;37;42;34;42;37;43;39;42;43;42;44;32;26;35;39;34;42;38;37;37;25;34;41;35;42;;34;18;7;26;23;25;27;25;19;27;41;33;30;31;21;20;39;38;28
9;37;42;34;42;38;43;40;42;44;42;44;32;32;35;43;34;42;38;39;41;29;34;41;38;42;32;;18;9;29;26;25;29;29;23;27;41;33;31;31;28;20;40;38;29
10;37;42;35;42;38;44;40;42;44;42;44;34;34;35;44;35;42;38;39;41;29;34;42;38;42;32;37;;10;29;28;27;32;29;22;30;43;35;31;31;29;21;40;38;30
