Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;9097;0;10857;9257;0;10857;;9097;7457;10857;9257;0;0;10857;0;0;0;10857;;;10857;0;0;0;10857;10057;11631;;;0;12738;0;0;12738;12738;10138;5534;12738;11712;10138;0;0;10138;10138;0
2;9097;0;10857;9257;10057;10857;;9097;7457;10857;9257;8057;10857;0;;9097;10857;10857;10057;;;0;9097;10857;9257;10057;10857;;0;;;;10138;12738;12738;10138;5534;12738;10938;10138;;;10138;10138;0
3;9097;0;9257;9257;10057;9257;10857;9097;6937;10857;8149;8057;10857;0;0;9097;10857;9257;10057;0;;0;9097;0;9257;10057;10857;;;;0;12738;10138;12738;12738;10138;5534;12738;10938;10138;0;0;10138;8138;0
4;9353;0;9389;8257;8269;9389;11021;9353;6709;9389;8257;7657;9389;0;0;9353;11021;9389;8269;11021;0;;9353;0;9389;10353;11021;0;;;0;12861;10434;12942;0;10434;5534;12942;11102;10434;0;0;10434;7738;11102
5;9353;0;8257;7641;8269;9389;11021;7641;6385;8257;7641;7657;9389;11021;9353;7641;11021;8257;8269;11021;0;9353;;0;8257;8269;11021;0;;0;0;12861;10353;12942;12942;10434;5534;12942;11102;10434;0;0;10434;7738;11102
6;9353;0;8257;7641;7657;8257;9389;7641;6385;7641;7281;7209;9389;11021;9353;7641;11021;7641;7657;9389;0;9353;9353;;8257;8269;11021;0;0;0;12861;12861;10353;12861;12942;10434;5534;12942;11102;10434;12942;0;10434;7738;11102
7;7641;6709;7641;7641;7209;8257;9389;7641;6085;7281;6937;6721;9389;0;9353;7137;9389;7281;7209;9389;;9353;7641;9389;;8269;9389;0;0;0;12861;12861;10353;12861;0;10434;5534;12942;11102;10434;12942;0;8350;7738;11102
8;7641;6709;7641;7281;7209;7641;8257;7641;6085;7281;6749;6721;8257;11021;9353;7137;9389;7281;7209;9389;11021;9353;7641;9389;7281;;9389;0;0;0;12861;12861;10353;12861;0;10353;5534;12942;11102;10434;12942;0;8350;7290;11102
9;7137;6385;7641;6937;6721;7641;8257;7137;6085;7281;6749;6721;7641;11021;9353;7137;9389;7281;6721;8257;11021;9353;7641;9389;7281;7657;;0;12861;5453;12861;12861;10353;12861;0;10353;5453;12942;11102;8350;12942;0;8350;7290;11102
10;7301;6521;7369;7017;6869;7369;8365;7301;6061;7017;6825;6617;7737;9521;9609;6857;9521;7369;6869;8365;11185;9609;7825;9521;7369;7845;8365;;13065;5453;13065;13065;10649;9481;0;10649;5453;9481;11266;8562;13146;0;8562;7458;9602
