Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;42;44;34;29;28;23;36;29;42;24;38;26;13;22;25;33;27;29;;4;23;30;37;16;24;28;28;2;4;4;35;37;36;37;32;32;44;45;39;34;30;18;41;42;36
2;39;41;32;30;28;27;35;28;39;19;36;36;25;31;35;35;28;25;29;;19;35;37;18;21;31;32;11;0;0;32;37;35;36;30;32;39;41;35;32;35;26;40;39;35
3;39;41;35;32;28;30;39;30;40;19;36;38;31;35;39;35;35;28;29;32;;35;37;28;23;32;36;18;0;6;34;37;36;36;30;35;40;42;37;32;35;30;41;40;35
4;39;42;37;37;28;30;41;30;41;32;38;41;31;35;39;36;38;35;31;33;36;;37;32;28;33;36;22;4;21;32;36;37;39;30;35;40;40;39;34;35;32;41;40;40
5;41;42;38;41;32;31;41;31;42;35;41;41;31;35;39;36;40;37;35;33;37;38;;32;32;36;36;21;14;33;32;39;37;39;36;36;40;40;40;35;35;32;41;40;41
6;41;43;38;42;39;39;41;37;42;39;41;42;30;35;39;36;41;38;35;35;37;38;37;;32;38;37;23;21;38;34;39;40;38;36;36;41;40;39;36;35;32;41;42;41
7;42;43;40;42;39;40;41;37;44;41;41;42;33;36;39;36;41;38;35;36;38;38;37;39;;38;37;25;22;40;36;41;41;39;36;36;41;40;39;36;35;32;43;42;41
8;44;43;41;43;39;42;41;38;44;42;42;42;37;38;39;36;42;39;35;38;38;38;37;39;44;;37;24;21;40;36;40;41;41;39;36;43;40;38;37;35;38;43;42;41
9;44;43;41;43;41;42;41;38;44;42;42;42;38;38;39;36;43;39;34;40;42;38;38;40;44;38;;25;26;40;37;40;41;41;39;37;43;40;38;38;35;41;43;42;41
10;44;43;41;43;41;42;41;38;44;42;43;42;39;39;39;36;43;39;34;42;42;38;38;40;44;39;37;;27;42;39;40;41;42;39;38;43;40;38;38;35;41;43;42;41
