Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;56;230;152;207;165;109;138;96;261;155;203;160;89;25;0;192;75;158;;0;2;0;143;108;168;115;3;0;0;0;0;4;42;19;0;3;178;106;79;179;142;0;83;237;71
2;84;249;193;228;226;175;184;168;267;186;224;234;179;104;24;240;109;184;219;;0;1;187;146;181;181;49;0;0;0;4;9;77;64;2;0;206;126;103;208;196;54;141;261;101
3;105;263;256;242;251;217;228;195;295;205;235;254;224;153;75;255;197;209;232;211;;5;214;194;200;199;99;0;0;0;0;32;110;77;2;0;222;139;120;216;211;97;176;288;166
4;114;275;293;264;263;235;254;220;309;274;242;261;237;186;116;269;231;258;242;222;191;;222;245;254;208;119;0;0;0;42;49;137;106;3;1;230;152;140;231;220;120;194;301;226
5;176;281;310;290;291;248;263;250;312;295;310;262;256;208;154;280;266;286;265;229;201;80;;250;280;231;139;0;0;0;97;129;144;138;9;0;235;175;160;251;225;128;202;314;245
6;195;310;317;303;303;274;264;258;320;318;322;301;261;227;172;296;293;298;280;242;214;90;268;;281;244;160;0;0;0;160;158;199;154;16;0;245;179;176;263;247;149;217;318;265
7;214;311;341;303;311;285;275;262;323;330;333;313;286;232;201;306;310;304;297;261;230;129;272;310;;243;179;0;0;12;186;191;235;190;17;0;252;192;194;274;258;160;222;319;267
8;225;315;344;324;313;300;290;274;327;334;341;319;295;253;201;311;312;316;311;277;242;154;274;313;308;;179;0;0;113;224;223;248;211;23;0;256;201;204;279;266;180;233;322;274
9;242;321;345;327;326;302;296;284;338;338;347;324;306;275;231;312;313;321;320;294;255;174;281;320;308;281;;1;0;159;258;237;260;230;36;0;261;204;212;286;276;193;245;323;278
10;243;324;348;331;331;311;296;300;340;339;349;327;311;284;243;319;313;321;325;301;268;188;291;322;310;281;213;;0;177;274;255;265;244;62;1;269;211;223;287;281;199;246;326;280
