Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;9257;6221;9257;7005;7429;8057;9257;9257;5937;8149;6541;7005;10057;10857;10857;7457;10857;7429;;0;10857;10857;7457;10857;7429;7429;10057;0;12657;;12738;12738;10138;10138;12738;12738;5534;9298;9298;8138;10138;0;9298;7086;12738
2;8149;5937;8149;7005;6541;7429;8149;8149;5937;8149;6541;6309;7429;10857;10857;6937;10857;7429;6541;;10857;10857;6937;10857;7005;6541;8057;0;0;0;12738;12738;10138;10138;12738;12738;5534;9298;9298;8138;8138;10938;8462;7086;12738
3;7545;5801;7545;7005;6541;7005;7545;7545;5801;8149;6309;6309;7005;9257;9257;6529;9257;7005;6541;7429;;10857;6529;9257;7005;6541;7429;10857;0;0;12657;12738;10138;8138;12738;12738;5534;9298;8462;8138;8138;10938;7910;6622;9298
4;7641;5941;7281;6477;6477;7209;7281;7641;5941;6937;6477;6477;6721;8257;8257;6385;7641;6721;6721;7657;9389;;6709;8257;6721;6721;7657;11021;0;0;12861;12861;8350;8350;12942;12942;5534;8738;8738;7738;8350;11102;8158;6558;8738
5;7281;5941;6937;6333;6333;6721;7281;7281;5941;6749;6333;6477;6721;8257;8257;6085;7281;6477;6477;7657;9389;9389;;8257;6477;6477;7657;11021;0;0;9349;9349;8269;8350;12942;12942;5534;8738;8158;7290;8350;9470;8158;6558;8158
6;6937;5941;6937;6333;6333;6721;7281;6937;5941;6749;6333;6333;6721;7641;7641;5941;7281;6477;6333;7209;9389;8257;6085;;6477;6477;7209;11021;13835;5453;9349;9349;8269;8269;12942;12942;5534;8738;8158;7290;7738;9470;7654;6558;7654
7;6937;5941;6749;6333;6333;6477;6937;6937;5629;6749;6333;6333;6477;7641;7641;5941;6937;6333;6333;6721;8257;8257;6085;6937;;6333;7209;11021;12861;5453;9349;8657;7657;8269;12861;12942;5534;8158;7654;6802;7738;9470;7654;6414;7654
8;6749;5941;6749;6333;6333;6477;6937;6937;5629;6749;5981;6333;6477;7281;7641;5941;6749;6333;6333;6477;8257;7641;5941;6937;6333;;7209;11021;12861;5453;8657;8657;7657;7657;12861;12861;5534;8158;7654;6802;7738;9470;7654;6414;7654
9;6749;5941;6749;6333;6333;6477;6749;6749;5629;6749;5981;6333;6333;7281;7281;5941;6749;6333;6333;6477;7641;7641;5941;6937;6333;6333;;11021;12861;5453;8077;8657;7209;7657;12861;12861;5453;7654;7654;6802;7290;9470;7390;6414;7390
10;6825;6061;6825;6469;6469;6469;6825;6825;5737;6825;6101;6101;6469;7017;7369;6061;6825;6469;6469;6469;7737;7369;6061;6825;6469;6469;6617;;13065;5453;8337;8337;7377;7377;13065;13065;5453;7809;7890;6698;7458;8446;7610;6550;7610
