Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;450;144;507;529;474;346;1;475;75;582;469;80;0;0;508;1;530;590;;94;1;459;0;514;482;308;0;;0;0;16;337;303;287;8;311;3;1;430;481;352;0;497;182;450
2;497;207;538;539;551;401;0;520;89;621;490;293;156;0;560;9;565;602;533;;0;508;3;543;511;424;0;;52;0;54;394;336;321;16;357;46;1;451;506;431;18;521;220;468
3;528;280;572;549;579;474;66;541;168;638;526;339;287;2;584;71;603;619;546;423;;515;52;574;541;474;0;0;133;1;43;433;376;352;25;392;95;5;475;520;460;140;545;287;526
4;532;340;599;585;590;505;186;566;236;666;540;364;319;24;619;188;630;643;564;453;65;;57;591;592;499;2;0;235;66;40;452;402;381;31;419;188;2;515;541;481;187;576;333;571
5;569;355;622;616;617;516;242;573;287;673;614;381;343;84;646;268;654;675;601;478;135;574;;595;610;546;28;0;336;168;27;498;441;400;26;461;234;1;538;560;503;200;588;377;597
6;576;441;626;640;641;550;276;579;349;687;637;549;351;132;647;349;668;688;626;520;183;600;214;;612;569;108;0;434;219;12;532;491;410;31;476;271;20;550;577;524;232;593;402;615
7;582;464;643;644;656;571;328;584;385;700;655;591;431;156;652;395;682;697;653;551;242;614;257;664;;573;181;0;512;230;18;543;504;464;22;510;303;32;564;597;546;259;605;417;620
8;606;482;647;668;657;576;388;589;408;701;667;616;488;259;655;438;683;712;670;573;290;623;281;666;654;;191;0;602;256;14;561;525;495;23;520;343;43;579;608;557;282;613;429;625
9;634;509;655;674;687;583;427;592;431;704;669;635;565;314;684;453;691;718;684;603;349;638;316;671;659;633;;0;613;282;12;592;558;526;26;544;373;84;587;620;572;304;618;456;633
10;639;527;658;682;690;619;434;605;453;708;671;638;589;368;702;489;696;720;693;626;399;644;382;679;660;644;319;;621;290;7;611;577;536;29;559;399;98;595;634;574;332;628;483;641
