Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;24;0;25;14;9;0;0;23;0;12;1;;0;;16;0;25;17;;0;0;2;0;9;0;0;0;;0;0;6;22;15;7;0;13;0;0;17;14;1;0;18;0;24
2;29;0;27;15;18;9;0;27;0;17;1;0;0;0;22;1;28;19;0;;0;4;0;10;1;0;0;;8;0;8;24;18;8;2;14;0;0;22;16;5;0;18;5;31
3;39;3;33;22;21;12;3;30;3;23;6;5;5;2;32;2;33;24;3;5;;6;5;23;6;2;1;;19;1;8;31;25;16;1;20;1;4;23;21;11;0;27;5;38
4;39;4;37;30;27;12;6;35;3;31;7;6;5;3;32;3;35;38;3;6;3;;5;25;13;2;1;;21;3;7;33;26;18;2;26;3;4;24;21;11;1;28;5;39
5;40;4;41;34;29;15;7;35;12;32;17;6;5;3;34;14;36;40;3;5;3;20;;25;16;7;1;;25;1;8;36;26;19;3;30;3;1;24;26;11;3;31;5;40
6;41;8;41;38;35;19;8;37;17;36;20;19;5;3;34;20;38;41;5;6;3;20;9;;16;13;1;;26;6;11;38;27;19;3;30;7;9;24;28;12;4;32;15;41
7;41;11;47;38;40;22;13;37;22;37;28;22;7;3;35;26;39;45;7;10;6;20;10;32;;14;1;0;29;5;12;39;31;23;3;33;13;15;26;31;15;6;32;18;41
8;43;13;48;40;40;22;15;37;22;37;34;22;11;5;35;30;39;45;8;15;2;23;14;33;25;;1;;31;6;11;39;33;30;3;33;21;17;26;32;18;7;33;19;41
9;43;15;48;43;41;23;18;36;26;38;35;23;13;8;36;31;39;45;8;18;2;26;15;34;25;28;;;34;11;18;39;34;31;4;38;21;18;29;34;21;8;41;23;42
10;43;20;48;44;42;26;20;36;31;38;35;24;22;9;35;33;39;45;8;19;8;39;16;41;25;28;8;;34;22;23;45;34;36;2;39;23;19;29;37;21;11;43;24;42
