Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;13;9;13;24;13;6;0;8;5;0;14;0;0;;0;0;0;12;;;;0;0;2;7;4;0;;0;;0;0;13;1;3;2;0;0;0;4;0;;14;0;3
2;20;17;15;23;22;15;0;17;7;0;19;0;2;;6;0;0;13;6;;;1;0;0;7;9;0;;2;0;3;1;17;6;0;5;5;0;3;6;2;0;21;0;0
3;25;21;31;30;30;19;12;20;14;0;22;3;9;0;7;1;1;15;9;7;;6;0;8;10;13;9;;0;0;6;10;20;7;3;11;15;1;8;9;4;2;25;0;2
4;25;24;37;38;30;21;21;22;20;4;22;6;9;1;13;1;3;22;9;8;1;;0;14;13;13;13;;0;0;1;17;22;8;3;16;23;1;7;10;4;2;25;0;12
5;32;26;39;42;33;23;21;24;22;11;29;7;11;2;19;3;9;30;12;8;1;22;;15;15;18;14;;0;0;1;19;23;8;3;12;27;1;8;18;6;2;30;0;16
6;32;28;40;48;35;28;21;26;24;19;31;16;12;2;20;10;17;37;16;22;2;23;8;;15;28;16;;0;10;0;22;27;9;3;15;29;1;11;19;6;2;30;0;23
7;32;28;42;48;40;37;25;27;27;25;32;23;22;2;20;11;23;37;19;23;13;23;8;24;;28;17;;0;22;0;23;26;12;4;19;29;1;15;22;8;3;34;0;26
8;34;31;42;48;40;39;25;29;28;30;34;25;26;11;20;9;26;38;27;25;21;25;11;25;29;;17;;0;24;0;26;26;15;3;19;29;4;15;24;8;3;34;0;27
9;34;33;42;48;42;40;29;35;30;32;35;26;30;11;24;9;26;39;30;29;22;28;14;26;29;33;;;0;26;0;27;31;17;6;24;29;3;17;24;13;9;34;0;28
10;34;34;42;48;42;44;29;37;32;34;38;26;31;17;29;12;26;39;30;31;26;33;17;27;31;33;29;;0;28;0;30;31;18;6;26;30;3;17;24;16;13;37;0;28
