Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;4150;2844;3750;3044;3012;3340;3672;3848;2844;0;3044;3012;0;5011;0;0;4266;3186;;0;0;0;0;4266;3186;3158;4624;0;0;0;0;0;3790;4104;0;0;2802;3672;4266;3346;3346;0;3990;3162;4266
2;3848;2844;3624;3044;2844;3044;3504;3672;2844;3750;3044;2844;3186;3848;0;0;3990;3044;2896;;0;0;0;3990;3044;2896;3544;0;0;0;0;4684;3790;3790;0;0;2802;3672;3990;3230;3230;4150;3750;3162;3990
3;3672;2844;3538;2976;2844;2976;3412;3504;2844;3750;2976;2844;2976;3672;0;0;3624;3044;2844;3044;;0;0;3750;3044;2896;3340;5504;0;0;4684;4684;3578;3578;4704;4684;2802;3672;3990;3230;3230;3848;3624;3162;3750
4;3716;2908;3640;3046;2908;3046;3450;3450;2780;3640;3046;2908;3046;3544;0;0;3640;3046;2908;3046;3544;;0;3640;3046;2962;3268;5586;6506;0;4750;4404;3436;3436;4770;4750;2802;3544;3862;3242;3242;3896;3730;3066;3640
5;3544;2908;3512;3046;2908;3046;3450;3450;2780;3640;2890;2908;3046;3450;0;0;3640;3046;2908;3046;3544;0;;3640;3046;2908;3268;5586;6506;0;4114;3862;3436;3436;4770;4750;2802;3544;3862;3242;3242;3716;3640;3066;3640
6;3450;2780;3512;2890;2780;3046;3450;3450;2780;3512;2890;2908;3046;3450;0;0;3640;3046;2908;3046;3544;0;0;;3046;2908;3118;5586;6506;0;3862;3862;3314;3314;4770;4750;2802;3544;3730;3242;3242;3716;3640;3066;3640
7;3450;2780;3512;2890;2780;3046;3450;3450;2780;3512;2890;2780;3046;3450;0;0;3512;2890;2780;3046;3450;0;0;3512;;2908;3118;5586;6506;2802;3730;3730;3242;3314;4770;4750;2802;3450;3730;3242;3242;3716;3640;3066;3640
8;3450;2780;3512;2890;2780;2890;3306;3450;2780;3512;2728;2780;3046;3450;0;0;3512;2890;2780;3046;3450;0;0;3512;2890;;3118;5586;6506;2802;3640;3640;3242;3242;4770;4750;2802;3450;3730;3242;3242;3544;3640;3066;3640
9;3450;2780;3512;2890;2780;2890;3306;3450;2604;3512;2728;2780;2890;3450;0;0;3512;2890;2780;3046;3450;0;0;3512;2890;2908;;5586;6506;2802;3640;3640;3242;3242;4204;4750;2802;3450;3730;3242;3242;3544;3640;3066;3640
10;3488;2826;3480;2944;2826;2944;3342;3488;2642;3480;2774;2826;2944;3488;0;0;3612;2944;2826;2944;3488;0;0;3612;2944;2960;3106;;6608;2802;3746;3746;3310;3310;4258;4816;2802;3488;3746;3310;3310;3488;3746;3126;3746
