Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;14;7;12;11;9;2;1;16;11;10;7;0;0;;13;7;9;4;;1;;11;5;8;8;5;2;;13;17;15;15;17;17;15;17;16;15;11;10;6;0;14;14;15
2;14;8;14;11;11;5;4;16;11;9;6;0;0;0;13;8;10;4;5;;;11;6;9;9;7;7;;17;17;15;15;17;17;15;17;16;15;10;10;8;2;15;14;15
3;16;9;13;12;13;9;7;16;12;10;8;0;0;0;14;8;10;5;5;3;;12;7;9;9;7;10;;17;17;16;15;17;17;14;17;16;15;10;10;8;4;16;14;16
4;16;10;13;14;15;11;10;16;12;12;8;0;0;0;14;9;11;8;5;3;5;;7;11;11;7;13;0;17;17;16;15;17;17;15;17;17;15;12;10;9;8;17;14;16
5;17;10;15;16;16;11;10;16;15;15;11;2;2;0;14;9;15;10;6;3;5;13;;11;11;11;13;0;17;17;17;15;17;17;14;17;17;15;12;10;9;8;17;15;16
6;17;13;15;16;16;11;10;16;17;14;13;7;2;0;14;13;14;12;7;7;5;14;11;;11;13;16;0;17;17;17;15;17;17;14;17;17;17;14;10;12;8;17;15;17
7;17;13;16;16;16;12;12;16;17;14;14;11;4;0;14;13;13;13;9;12;5;14;14;15;;13;16;0;17;17;17;15;17;17;14;17;17;17;16;10;14;11;17;15;17
8;17;13;16;17;16;13;12;16;17;14;14;12;6;1;14;13;13;13;11;13;8;15;14;15;13;;16;0;17;17;16;15;17;17;14;15;17;17;16;13;14;12;17;15;17
9;17;15;16;17;17;13;13;17;17;14;14;13;7;1;14;13;13;13;13;14;10;16;15;15;13;15;;0;17;17;16;17;17;17;14;17;17;17;16;13;14;12;17;15;17
10;17;17;16;17;17;13;13;17;17;14;14;14;8;2;14;13;13;13;13;14;10;17;15;15;13;15;17;;17;17;16;17;17;17;14;17;17;17;16;13;14;13;17;15;17
