Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;5;10;0;8;5;0;1;2;27;0;1;0;0;0;0;2;0;0;;0;0;0;4;0;0;0;0;0;0;;0;0;0;0;0;0;15;6;0;2;0;0;1;8;0
2;14;20;0;11;8;12;3;13;28;1;2;3;2;0;0;9;0;1;10;;0;0;2;0;1;3;1;0;0;0;0;0;0;0;0;0;21;6;1;4;0;0;5;12;0
3;18;25;6;16;15;24;12;19;33;5;5;9;15;5;10;14;2;5;15;7;;2;9;2;4;8;3;0;1;0;1;3;1;1;1;1;27;10;4;7;2;4;7;15;5
4;18;29;5;22;12;24;17;24;33;16;5;10;15;5;13;24;3;12;15;7;5;;9;4;6;8;3;0;1;0;4;3;2;1;1;1;27;13;5;12;2;4;12;18;4
5;23;29;18;33;22;24;18;27;33;22;22;10;17;7;19;26;3;20;21;7;6;12;;4;11;17;3;0;2;0;4;7;2;1;1;1;26;13;6;13;5;4;14;20;14
6;27;32;18;36;23;25;18;31;34;28;27;28;18;9;22;29;5;21;25;7;7;14;28;;12;19;6;0;2;0;4;17;3;1;1;1;27;18;13;14;7;4;16;21;15
7;32;37;30;36;24;26;19;29;37;34;28;28;24;11;24;29;5;23;26;7;9;17;28;22;;19;7;0;2;1;6;22;8;1;1;1;27;19;15;20;12;4;17;25;15
8;36;37;30;42;24;29;24;31;38;38;32;29;25;18;24;28;6;29;27;12;7;21;31;24;19;;7;0;2;1;7;28;8;3;6;1;29;21;15;20;21;4;22;26;15
9;37;38;30;42;28;29;25;31;39;40;34;34;30;20;25;28;6;32;30;17;13;23;35;26;23;31;;0;2;2;15;28;8;5;5;1;31;24;16;21;21;5;24;28;16
10;37;38;30;42;28;30;25;31;41;40;34;34;35;27;27;29;6;32;30;25;16;28;35;30;24;31;19;;2;1;15;30;8;11;5;1;30;25;16;23;21;8;24;28;22
