Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;3186;0;3230;3044;3186;0;0;3186;0;2402;3544;;0;;3340;0;3230;3340;;0;0;3804;0;3346;0;0;0;;0;0;4684;3504;3578;4104;0;3346;0;0;3230;3230;3790;0;3578;0;3230
2;3044;0;3162;2976;3044;3340;0;3044;0;2402;3544;0;0;0;3186;5104;3230;3186;0;;0;3544;0;3230;3340;0;0;;4104;0;4684;3504;3346;3790;6404;3346;0;0;3230;3230;3578;0;3346;5104;3162
3;2976;4104;2844;2976;2976;3186;5104;2976;4104;2402;3340;3804;4624;5104;3044;5104;3162;3186;3340;3804;;3544;5104;3162;3340;3804;4624;;3790;2802;4684;3504;3230;3790;6404;3230;2802;4684;3230;3230;3346;0;3230;5104;3162
4;3046;4210;2908;3046;3046;3268;4210;3046;4210;2402;3430;3644;3896;5252;3118;4210;3242;3118;3430;3644;5252;;5252;3242;3268;3644;4752;;3904;2802;4750;3450;3314;3904;6506;3314;2802;4750;3242;3242;3436;4210;3242;5252;3242
5;3046;4210;2908;2890;3046;3118;4210;3046;3904;2402;3046;3644;3644;5252;3046;4210;3242;3046;3268;3644;5252;3268;;3242;3118;3430;4752;;3680;2802;4750;3450;3242;3680;6506;3242;2802;4750;3242;3242;3436;4210;3242;4210;3242
6;3046;3904;2780;2890;3046;3118;3904;3046;3680;2402;3046;3118;3644;5252;3046;3904;3066;3046;3118;3430;5252;3268;4210;;3118;3268;4752;;3436;2802;4750;3450;3242;3680;4750;3242;2802;4750;3242;3242;3314;3904;3242;4210;3066
7;3046;3680;2780;2890;2890;3046;3680;3046;3680;2402;3046;3046;3268;5252;3046;3680;3066;3046;3118;3268;4210;3268;4210;3066;;3268;3896;0;3436;2802;4750;3450;3242;3436;6506;3242;2802;4404;3242;3242;3314;3904;3242;4210;3066
8;2890;3680;2780;2728;2890;3046;3680;2890;3680;2402;3046;3046;3268;4210;3046;3680;3066;3046;3046;3118;4210;3118;3904;3066;3046;;3896;;3314;2802;4750;3450;3242;3436;6506;3242;2802;4404;3242;3242;3314;3904;3242;3904;3066
9;2890;3436;2780;2728;2890;3046;3436;2890;3436;2402;2890;3046;3118;3904;3046;3436;3066;3046;3046;3118;3904;3118;3904;3066;3046;3046;;;3314;2802;4750;3450;3242;3314;4750;3242;2802;4404;3242;3242;3314;3680;3242;3904;3066
10;2944;3384;2826;2774;2944;3106;3510;2944;3510;2402;2944;3106;3106;3998;3106;3510;3126;3106;3106;3180;3764;3106;3764;3126;3106;3106;3726;;3310;2802;4816;3342;3310;3384;6608;3310;2802;4462;3310;3310;3310;3764;3310;3998;3126
