Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;226;58;269;267;252;206;0;205;28;104;30;0;0;;99;0;177;116;;1;;104;1;161;68;34;0;;0;0;23;188;178;147;2;167;0;0;255;255;205;0;269;80;233
2;255;89;282;279;277;237;0;228;35;133;37;2;0;0;120;1;193;122;110;;;109;1;171;78;89;0;;38;0;34;214;198;190;3;191;7;0;262;272;264;6;279;97;243
3;267;129;300;296;289;268;24;242;68;141;43;1;15;0;140;29;227;131;120;53;;113;11;207;98;96;1;;74;7;30;240;213;198;0;206;33;0;270;275;275;73;288;112;271
4;267;168;318;319;296;280;98;260;112;219;46;0;17;8;176;63;259;182;130;61;6;;13;237;132;108;1;0;149;73;18;244;231;214;3;226;64;2;279;286;281;101;294;158;289
5;291;172;327;322;311;284;124;281;137;247;135;0;21;7;226;80;276;235;167;65;13;183;;238;160;136;3;0;209;112;17;257;238;241;3;242;95;4;282;296;286;125;303;187;309
6;301;223;328;326;316;292;151;295;168;273;168;55;24;8;238;125;285;254;181;100;24;198;66;;158;160;35;0;240;131;9;267;253;244;5;248;129;11;285;303;292;132;308;203;315
7;312;240;346;329;322;307;176;301;175;286;213;98;72;8;250;139;305;274;199;129;55;206;84;294;;169;68;0;263;149;9;278;260;266;3;252;163;22;290;312;299;165;313;211;320
8;317;246;349;350;322;312;210;309;222;293;246;145;118;33;255;154;306;288;221;153;66;220;87;299;224;;73;0;274;175;6;282;275;271;4;258;179;39;292;322;308;203;317;217;323
9;322;250;350;350;337;315;233;317;240;298;249;171;176;62;284;157;306;292;240;172;84;242;108;309;227;240;;0;275;200;8;287;288;277;9;270;183;54;298;326;319;216;321;226;325
10;322;258;357;352;337;324;241;322;259;302;254;173;197;89;292;176;306;293;241;185;104;250;120;315;234;240;152;;275;214;12;301;300;279;1;275;212;56;302;328;319;232;324;238;326
