Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;14;3;11;16;0;0;1;33;15;;;;;;;;;;;;;;;;;;34;;6;0;27;17;25;26;30;39;69;31;;;;;;;
2;20;9;12;17;0;2;3;34;18;;;;;;;;;;;;;;;;;;39;0;;;28;22;30;24;31;37;70;32;;;;;;;
3;25;13;14;18;2;2;12;35;27;;;;;;;;;;;;;;;;;;41;;0;0;28;28;32;25;37;40;72;32;;;;;;;
4;24;15;15;24;4;7;17;36;30;;;;;;;;;;;;;;;;;;41;0;0;0;31;31;33;23;37;45;75;39;;;;;;;
5;27;18;22;25;16;8;22;38;31;;;;;;;;;;;;;;;;;;42;0;11;6;38;38;33;25;37;51;75;42;;;;;;;
6;26;22;22;26;17;13;23;41;34;;;;;;;;;;;;;;;;;;49;2;29;25;42;41;35;27;37;51;75;41;;;;;;;
7;29;28;24;26;31;15;26;43;35;;;;;;;;;;;;;;;;;;53;;36;51;41;47;37;36;38;54;75;43;;;;;;;
8;29;28;26;28;31;19;27;44;40;;;;;;;;;;;;;;;;;;53;8;43;69;41;52;36;42;38;56;75;44;;;;;;;
9;30;30;26;30;35;19;28;42;40;;;;;;;;;;;;;;;;;;;8;42;69;40;52;59;47;38;65;75;44;;;;;;;
10;30;30;28;30;35;21;28;42;40;;;;;;;;;;;;;;;;;;55;;42;73;44;56;59;48;44;67;75;45;;;;;;;
