Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;2976;4150;3162;2976;3162;3504;0;2976;4704;2402;0;0;0;;3340;0;3346;3544;;5504;;3340;5504;3346;0;5104;0;;0;0;4684;3504;3230;3750;0;3230;2802;0;3162;3162;3624;0;3162;3990;3162
2;2976;3848;3162;2976;3162;3412;0;2976;4150;2402;0;0;0;0;3186;0;3230;3544;3790;;;3340;0;3346;3735;3790;0;;4266;0;4266;3412;3230;3624;6404;3230;2802;0;3162;3162;3538;0;3162;3990;3162
3;2976;3672;2828;2976;3162;3412;4684;2976;3848;2402;3804;5104;5504;6404;3186;4704;3230;3340;3578;4704;;3340;5504;3230;3544;3790;5504;;3990;2802;4684;3412;3162;3624;4684;3162;2802;4684;3162;3162;3538;4266;3162;3990;3162
4;3046;3544;2890;2890;3242;3450;4114;3046;3896;2402;3896;5252;5586;6506;3118;4204;3242;3268;3680;4770;6506;;4770;3242;3430;3904;5586;6506;3730;2802;4750;3450;3242;3640;6506;3242;2802;4750;3242;3242;3640;4114;3242;3730;3242
5;2890;3544;2890;2890;3066;3450;4114;3046;3716;2402;3430;5252;5586;6506;3046;4204;3242;3046;3436;4204;6506;3118;;3242;3268;3680;4770;6506;3640;2802;4750;3450;3242;3640;6506;3242;2802;4750;3242;3242;3640;4114;3066;3730;3066
6;2890;3450;2890;2890;3066;3450;3862;2890;3544;2402;3268;4210;5586;6506;3046;3896;3242;3046;3436;4204;4750;3118;4204;;3268;3436;4770;6506;3640;2802;4750;3450;3242;3640;4750;3242;2802;4750;3242;3242;3640;3862;3066;3640;3066
7;2890;3450;2728;2890;3066;3306;3730;2890;3544;2402;3118;3904;4770;6506;3046;3716;3066;3046;3314;3896;4750;3046;4204;3066;;3436;4204;6506;3640;2802;4750;3450;3242;3640;4750;3242;2802;4404;3242;3242;3512;3862;3066;3640;3066
8;2890;3450;2728;2728;3066;3306;3640;2890;3450;2402;3046;3680;3896;4750;3046;3716;3066;3046;3242;3716;4404;3046;4204;3066;3046;;4204;6506;3640;2802;4750;3450;3242;3640;4750;3242;2802;4404;3242;3066;3512;3730;3066;3640;3066
9;2890;3450;2728;2728;2900;3306;3640;2890;3450;2402;3046;3436;3716;4404;3046;3716;3066;3046;3242;3716;4404;3046;3896;3066;3046;3242;;6506;3640;2802;4750;3306;3242;3640;4750;3242;2802;4404;3066;3066;3512;3640;3066;3640;3066
10;2944;3488;2774;2774;2952;3342;3746;2944;3488;2402;3106;3510;3760;4462;2944;3584;3126;3106;3310;3584;4244;3106;3944;3126;3106;3310;3760;;3746;2802;4816;3342;3126;3746;4816;3310;2802;4244;3126;3126;3612;3746;3126;3746;3126
