Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;55;10;55;42;19;13;0;58;12;60;5;0;0;0;70;0;67;52;;0;0;64;0;61;37;22;0;;1;0;7;46;43;28;3;48;1;0;60;39;45;0;46;25;22
2;59;15;63;47;34;37;0;65;15;64;7;0;0;0;69;3;70;55;55;;0;64;0;63;42;36;0;;19;1;11;52;51;30;0;50;20;0;63;42;61;0;53;29;30
3;77;30;85;57;45;55;11;74;39;78;25;8;8;10;87;17;81;68;64;41;;75;20;70;56;48;6;1;27;9;11;68;58;46;3;59;40;1;77;55;74;9;67;43;53
4;77;31;86;64;51;57;22;81;49;82;32;8;13;12;89;40;84;75;64;47;13;;25;74;63;47;6;1;38;44;10;69;60;47;4;61;53;1;74;58;77;13;69;48;74
5;79;36;88;74;65;58;21;85;54;85;53;8;21;12;91;51;85;87;68;50;20;83;;74;66;58;6;1;57;52;9;70;62;47;3;67;54;7;75;64;75;12;69;50;75
6;81;47;88;79;69;68;24;85;58;86;64;19;22;15;91;58;90;90;76;55;24;84;61;;66;65;12;1;69;54;7;75;71;56;3;72;56;18;79;69;78;12;70;54;83
7;84;54;93;79;72;74;30;85;58;88;70;41;38;16;92;64;92;91;83;58;49;85;61;86;;66;19;1;79;59;9;84;76;58;6;73;59;27;80;72;81;15;70;55;85
8;87;59;94;85;72;78;40;88;63;88;75;56;41;27;92;68;92;94;85;61;55;86;61;86;79;;19;2;94;58;7;88;78;61;8;82;63;33;80;74;82;20;73;55;85
9;91;65;96;85;82;78;49;89;66;88;75;65;49;32;94;71;92;94;85;68;62;90;63;86;79;76;;2;95;61;4;88;77;67;9;85;64;40;80;75;82;24;77;57;85
10;91;68;96;89;82;88;53;91;72;90;75;65;55;45;96;83;93;94;86;70;65;91;67;86;79;76;45;;96;64;6;90;79;69;8;85;65;46;80;75;82;29;80;60;86
