Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;19029;0;0;16068;0;17928;;17928;16068;17928;0;0;0;0;21528;0;23354;0;;;0;22989;21528;0;0;21528;22989;;;0;0;0;21609;0;0;21609;10853;21609;21609;21609;0;21609;21609;21609;21609
2;19029;17928;19304;16068;0;17928;;17928;16068;0;0;0;0;0;;21528;0;0;21528;;;22989;21528;0;0;21528;0;;23354;;;;21609;0;0;21609;10853;21609;21609;21609;;;21609;23435;21609
3;19029;16068;16068;16068;17928;0;0;17928;14814;0;0;16068;0;0;19304;17928;0;0;21528;0;;22989;21528;0;0;21528;0;;;;0;0;21609;0;0;21609;10503;21609;21609;21609;0;0;21609;23435;21609
4;19286;15228;16266;15228;16266;0;0;18162;14358;16266;0;15228;0;0;18162;18162;19567;0;21528;21528;0;;21528;0;21528;21528;0;0;;;23354;0;21609;0;21609;21609;10503;21609;21609;21609;0;0;21609;21609;21609
5;19286;15228;15228;14358;16266;0;0;16266;13602;15228;14358;15228;0;0;18162;16266;19567;15228;21528;21528;0;22989;;0;20094;21528;0;0;;10422;23354;0;21528;0;21609;21609;10503;21609;21609;21609;0;0;21609;20175;21609
6;19286;14358;15228;14358;15228;0;0;16266;13602;14358;13602;14358;0;0;18162;16266;19567;14358;15228;21528;0;22989;21528;;20094;21528;0;0;0;10422;21528;0;21528;23354;21609;21609;10503;21609;21609;21609;0;0;21609;20175;21609
7;17201;14358;14358;14358;14358;15228;0;16266;13206;13602;13206;13602;16266;0;18162;15228;16266;13602;14358;16266;;22989;21528;0;;21528;0;0;0;10422;21528;0;21528;21528;21528;21609;10503;21609;21609;21609;0;0;21609;20175;21609
8;17201;14358;14358;13602;14358;14358;15228;16266;13206;13602;12936;13602;15228;18162;18162;15228;16266;13602;14358;16266;0;21528;21528;0;21741;;0;0;23354;10422;21528;0;21528;21528;21528;21528;10503;21609;21609;21609;21609;0;21609;20175;21609
9;15228;13602;14358;13206;13602;14358;15228;15228;13206;13602;12936;13602;14358;18162;18162;15228;16266;13602;13602;15228;0;18162;21528;0;21741;20094;;0;0;10422;21528;0;21528;21528;21528;21528;10422;21609;21609;21609;21609;0;21609;20175;21609
10;15402;13956;13956;13536;13956;13956;15402;15402;13254;13536;13254;13536;14748;16464;18396;14748;16464;13956;13956;15402;0;18396;16464;0;21741;20094;21528;;0;10422;21528;22989;21528;21528;21528;21528;10422;21528;21609;21609;21609;0;21609;20175;21609
