Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;6221;8057;6309;5937;6221;7457;0;6221;10057;4653;6937;;9097;;6529;10057;6309;6529;;9097;0;7457;10057;6541;6937;9097;0;;8057;5534;9298;6938;7086;8138;12738;6622;5534;12738;6390;6390;7510;10138;7086;10138;6390
2;5937;10057;6173;5801;5937;6529;10057;5937;10057;4653;6937;7457;9097;0;6221;10057;6309;6221;6937;;0;6937;10057;6309;6529;9097;0;;8057;5453;9298;6938;6622;7510;12738;6622;5534;12738;6390;6390;7086;10138;6622;10138;6254
3;5801;8057;5537;5801;5801;6221;10057;5801;8057;4653;6529;7457;9097;0;5937;10057;6173;6221;6529;7457;;6937;10057;6173;6529;7457;9097;;7429;5453;9217;6938;6390;7510;12738;6390;5534;9298;6390;6390;6622;8138;6390;10138;6254
4;5941;8269;5665;5941;5941;6385;8269;5941;8269;4653;6709;7137;7641;10353;6085;8269;6333;6085;6709;7137;10353;;10353;6333;6385;7137;9353;;7657;5453;9349;6749;6558;7738;12942;6558;5534;9430;6414;6414;6802;8350;6414;10434;6414
5;5941;8269;5665;5629;5941;6085;8269;5941;7657;4653;5941;7137;7137;10353;5941;8269;6333;5941;6385;7137;10353;6385;;6333;6085;6709;9353;;7209;5453;9349;6749;6333;7290;12942;6414;5534;9430;6414;6414;6802;8350;6414;8350;6414
6;5941;7657;5409;5629;5941;6085;7657;5941;7209;4653;5941;6085;7137;10353;5941;7657;5981;5941;6085;6709;10353;6385;8269;;6085;6385;9353;;6721;5453;9349;6749;6333;7209;9430;6414;5534;9430;6414;6414;6558;7738;6414;8350;6062
7;5941;7209;5409;5629;5629;5941;7209;5941;7209;4653;5941;5941;6385;10353;5941;7209;5981;5941;6085;6385;8269;6385;8269;5981;;6385;7641;0;6721;5453;9349;6749;6333;6721;12861;6414;5534;8738;6414;6414;6558;7738;6414;8350;6062
8;5629;7209;5409;5305;5629;5941;7209;5629;7209;4653;5941;5941;6385;8269;5941;7209;5981;5941;5941;6085;8269;6085;7657;5981;5941;;7641;;6477;5453;9349;6749;6333;6721;12861;6333;5534;8738;6414;6414;6558;7738;6414;7738;6062
9;5629;6721;5409;5305;5629;5941;6721;5629;6721;4653;5629;5941;6085;7657;5941;6721;5981;5941;5941;6085;7657;6085;7657;5981;5941;5941;;;6477;5453;9349;6749;6333;6477;9349;6333;5453;8738;6414;6414;6558;7290;6414;7738;6062
10;5737;6617;5501;5397;5737;6061;6869;5737;6869;4653;5737;6061;6061;7845;6061;6869;6101;6061;6061;6209;7377;6061;7377;6101;6061;6061;7301;;6469;5453;9481;6533;6469;6617;13065;6469;5453;8773;6550;6550;6550;7458;6550;7926;6182
