Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;7457;8057;9097;7457;0;0;10857;7457;8057;;;;;;;;;;;;;;;;;;10857;;10857;0;12738;12738;8138;8230;12738;10138;5534;12738;;;;;;;
2;6937;8057;9097;6937;0;8149;10857;6529;8057;;;;;;;;;;;;;;;;;;9257;0;;;12738;12738;7510;8230;12738;10138;5534;12738;;;;;;;
3;6529;7429;7457;6937;6937;7545;10857;6529;7005;;;;;;;;;;;;;;;;;;8149;;0;0;12657;12738;7510;8230;12738;10138;5534;12738;;;;;;;
4;6709;7657;7137;6709;7137;7641;9389;6385;7209;;;;;;;;;;;;;;;;;;8257;0;0;0;12861;9349;7738;8338;12942;10434;5534;12942;;;;;;;
5;6385;7209;6709;6709;6709;7641;9389;6085;6721;;;;;;;;;;;;;;;;;;8257;0;11021;5453;12861;9349;7657;8338;12942;8350;5534;12942;;;;;;;
6;6385;6721;6709;6385;6385;7281;9389;6085;6477;;;;;;;;;;;;;;;;;;7641;13835;11021;5453;9349;8657;7657;8257;12942;8350;5534;12942;;;;;;;
7;6385;6721;6385;6385;6085;6937;9389;5941;6477;;;;;;;;;;;;;;;;;;7281;;11021;5453;12861;8657;7657;7641;12861;8350;5534;12942;;;;;;;
8;6085;6477;6385;6085;6085;6937;8257;5941;6333;;;;;;;;;;;;;;;;;;7281;12861;11021;5453;12861;8077;7209;7641;12861;8269;5534;12942;;;;;;;
9;6085;6477;6085;5941;6085;6937;8257;5941;6333;;;;;;;;;;;;;;;;;;;12861;11021;5453;9349;7573;6721;7281;12861;7657;5453;12942;;;;;;;
10;6209;6617;6209;6061;6209;6825;8365;6061;6469;;;;;;;;;;;;;;;;;;7017;;11185;5453;9481;7809;6869;7369;9481;7845;5453;9481;;;;;;;
