Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;9097;7457;;;;;;9097;6937;;;;;;;;;;;;;;;;;;;;0;;12738;;8138;8138;12738;10138;5534;12738;;;;;10138;10138;
2;7457;6937;;;;;;6937;6529;;;;;;;;;;;;;;;;;;;;;;12738;;7510;7510;9298;10138;5534;12738;;;;;10138;10138;
3;6937;6529;;;;;;6529;6221;;;;;;;;;;;;;;;;;;;;;0;12657;;7086;7086;8462;10138;5534;12738;;;;;8138;10138;
4;7137;6709;;;;;;6385;6085;;;;;;;;;;;;;;;;;;;0;;0;12861;;6802;6802;8158;10434;5534;12942;;;;;8350;8350;
5;6709;6385;;;;;;6085;6085;;;;;;;;;;;;;;;;;;;12861;;5686;12861;;6477;6414;7654;10434;5534;12942;;;;;7738;8350;
6;6385;6085;;;;;;6085;5941;;;;;;;;;;;;;;;;;;;0;12861;0;12861;;5649;6333;7390;10434;5534;12942;;;;;7738;7738;
7;6385;6085;;;;;;6085;5941;;;;;;;;;;;;;;;;;;;12861;0;0;12861;;;5649;7129;10434;5534;12942;;;;;7738;7738;
8;6085;6085;;;;;;6085;5941;;;;;;;;;;;;;;;;;;;12861;12861;5453;12861;;;;6621;10353;5534;9430;;;;;7290;7738;
9;6085;6085;;;;;;5941;5941;;;;;;;;;;;;;;;;;;;12861;12861;5453;12861;;;;;10353;5453;9430;;;;;7290;7738;
10;6061;6061;;;;;;6061;6061;;;;;;;;;;;;;;;;;;;;13065;5453;9481;;;;;10649;5453;9481;;;;;7458;7458;
