Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;108;53;159;223;192;143;1;171;62;0;156;52;0;;1;1;0;111;;;;0;2;13;102;58;0;;0;;4;10;43;71;9;21;0;0;1;42;12;;58;5;18
2;126;75;199;252;236;189;2;227;79;0;181;133;47;;24;1;0;135;142;;;16;1;27;116;106;0;;0;0;2;23;66;87;15;26;7;1;6;53;49;1;88;14;43
3;165;127;229;271;249;238;51;240;111;0;200;151;99;0;68;0;21;157;166;70;;21;1;82;138;123;47;;0;0;6;33;76;91;10;36;19;0;11;74;63;0;139;32;103
4;181;145;256;291;261;258;90;252;153;34;205;175;109;9;93;7;75;180;179;96;6;;8;104;165;143;56;;0;0;11;48;97;111;7;47;41;8;19;85;74;4;182;40;133
5;218;147;270;308;273;268;115;265;185;89;260;182;124;17;116;24;131;207;212;108;17;67;;107;197;174;82;;0;0;11;77;108;123;7;62;67;3;47;110;84;2;202;59;169
6;242;213;270;317;289;283;135;270;207;125;287;229;133;30;135;40;158;227;238;137;18;85;36;;198;186;125;;0;30;1;88;155;134;10;72;74;1;63;128;115;1;221;67;189
7;259;230;287;318;308;293;178;279;231;161;294;251;183;46;162;48;182;282;266;171;45;98;48;189;;193;143;;0;129;4;117;179;153;5;88;100;4;81;168;128;1;232;77;216
8;276;249;291;332;310;310;190;287;256;175;301;273;213;89;175;76;195;291;276;190;67;146;56;208;259;;148;;0;169;6;142;225;167;19;98;117;6;95;185;146;2;244;93;224
9;288;266;297;335;326;313;221;293;269;188;308;288;242;115;227;88;203;292;292;203;83;205;78;221;269;257;;;0;201;0;154;244;178;13;117;129;3;110;198;159;11;278;108;239
10;289;279;301;344;330;323;224;303;276;209;318;294;263;143;248;136;211;298;295;216;111;232;100;232;278;261;203;;0;213;1;174;272;198;15;146;165;2;128;211;167;18;285;115;248
