num,class,explained,r2,train
001А,Купе,0.7926193766312222,0.15308522307524375,001А-Купе
002А,Купе,0.8148719003975395,0.22617727497170226,002А-Купе
005А,СВ,0.8444561283455292,0.1543199022914279,005А-СВ
006А,СВ,0.8490351450720828,0.17245413151964395,006А-СВ
701Н,СВ,0.7008516434496302,0.16515158338452052,701Н-СВ
701Н,Сидячий,0.7204942344240457,0.12262512215074961,701Н-Сидячий
703Н,СВ,0.8015940043668515,0.15317175612694678,703Н-СВ
703Н,Сидячий,0.8546538173732892,0.26022321337993004,703Н-Сидячий
705Н,СВ,0.7996163516169665,0.1987744961811645,705Н-СВ
705Н,Сидячий,0.9231212281323259,0.5877601752864199,705Н-Сидячий
707Н,СВ,0.7671860177070542,0.12649459945698271,707Н-СВ
707Н,Сидячий,0.9253097164118504,0.5281298486762191,707Н-Сидячий
709Н,СВ,0.7638684752297078,0.015869702157704557,709Н-СВ
709Н,Сидячий,0.9345853089618492,0.3911696979951139,709Н-Сидячий
751А,B1,0.8067258695745267,0.2554097817323582,751А-B1
751А,B2,0.7922338829961193,0.2115672629048455,751А-B2
751А,C1,0.7192956860184978,0.19239466986978337,751А-C1
751А,C2,0.8348350400042461,0.36858195128226423,751А-C2
752А,B1,0.7883285000091058,0.14253194797108215,752А-B1
752А,B2,0.7436008106392717,0.1598285765050801,752А-B2
752А,C1,0.6650625574889756,0.116321068739349,752А-C1
752А,C2,0.8533157016510082,0.4142911841990947,752А-C2
753А,B1,0.7613275477936381,0.17954244226353777,753А-B1
753А,B2,0.7783840638170508,0.07540023713832567,753А-B2
753А,C1,0.7580438127820651,0.16091762019355693,753А-C1
753А,C2,0.8136123463656854,0.17139893693798147,753А-C2
754А,B1,0.7072430289130205,0.08656385755404594,754А-B1
754А,B2,0.8048349155790797,0.3465753439159226,754А-B2
754А,C1,0.7869164472499941,0.3400124977741926,754А-C1
754А,C2,0.8802010379278781,0.48884376633857385,754А-C2
755А,B1,0.7473898192415935,0.14055854088918018,755А-B1
755А,B2,0.6896851198742834,0.08373587117939618,755А-B2
755А,C1,0.6871508103635036,0.10991696808218365,755А-C1
755А,C2,0.7893349685714143,0.12068333999500169,755А-C2
756А,B1,0.7033805864455375,0.10505556473825273,756А-B1
756А,B2,0.8049593547634515,0.38078786903064776,756А-B2
756А,C1,0.7943414684368816,0.3652694622721875,756А-C1
756А,C2,0.9058018474657087,0.553759622853774,756А-C2
759А,B1,0.792292764637208,0.036137261671080334,759А-B1
759А,B2,0.7859304805098234,0.22081739659420652,759А-B2
759А,C1,0.7504646134619097,0.2779741887165388,759А-C1
759А,C2,0.7843113361653393,0.4511632185235015,759А-C2
760А,B1,0.7630188955626398,0.0820683222555999,760А-B1
760А,B2,0.8382264417771937,0.43835600127393026,760А-B2
760А,C1,0.816691946995898,0.4734951204156689,760А-C1
760А,C2,0.9318031815006352,0.6154022477812271,760А-C2
