train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
002А-Купе,0.34323279616724733,0.389055845915602,0.4410456187895212,0.48766373080397485,0.5274390243902438,0.5599593495934959,0.5906108852755195,0.6163448509485098,0.6348591350496838,0.6548554652213189,0.6687415311653118,0.6916045618789521,0.7086029245709125,0.7226019083107497,0.7361040537488708,0.7512632678410118,0.7650533536585366,0.7777213188798555,0.792654697380307,0.805054482836495,0.818308814040521,0.8297504113433989,0.8391373080397467,0.8496279761904761,0.8557408617240935,0.863280745902697,0.8695432475158081,0.8746604400567815,0.8792797861014322,0.8847230287779069
005А-СВ,0.38542249091417385,0.446339460441711,0.4850608051439755,0.5181908722393067,0.5496715124405925,0.5802348336594911,0.5949119373776908,0.6172211350293542,0.6324363992172211,0.6574363992172213,0.6782778864970648,0.6931506849315067,0.7003098499673839,0.7181099151989564,0.7260273972602739,0.7410388127853881,0.7532615786040445,0.7632093933463797,0.7784572733202871,0.7872961513372473,0.7963796477495109,0.8030332681017615,0.8093024881185352,0.8138104556891249,0.8215473860777188,0.8285155157953592,0.8365389991613085,0.8435840089460444,0.8558149287112106,0.8623846798993571
006А-СВ,0.3351413431226149,0.37469201095072174,0.42389300232288063,0.46230400696864127,0.4955320847851336,0.5281358885017421,0.5589140534262484,0.5853368176538909,0.6064242160278744,0.6220963995354236,0.6379645760743321,0.6533972125435539,0.6655995934959349,0.6785278745644595,0.6948315911730544,0.7101480836236932,0.717682926829268,0.7293554006968639,0.7358013937282232,0.7467479674796749,0.7558714949394392,0.764511780321885,0.7727891156462589,0.7808486809357892,0.7899825783972126,0.7977663016426082,0.8080803052928489,0.8185809689729552,0.8277750124440022,0.832794093247055
703Н-СВ,0.38478228593024516,0.44786267681675845,0.5165107709750569,0.5817743764172336,0.6336404006046861,0.6783257747543461,0.7203184051398335,0.7518707482993198,0.7795493197278907,0.7969104308390023,0.8144841269841265,0.8275226757369609,0.8466080876795159,0.8595993953136805,0.8669690098261523,0.8794879062736202,0.8894557823129248,0.8980631141345424,0.9063869992441415,0.9157029478458043,0.9200113378684801,0.9254535147392282,0.9356575963718813,0.9384920634920627,0.9410430839002262,0.9424097019760279,0.9457604470359565,0.9485442986718489,0.9522291059280845,0.9560961289277609
703Н-Сидячий,0.4155013716544724,0.46653920297331125,0.5161415888160074,0.5575763599019412,0.5968776916451334,0.6307051834183615,0.6592570507299189,0.6891975308641977,0.7153641864882175,0.7340074869144636,0.7521450341217781,0.7680630093420789,0.781612336844895,0.7972901344994371,0.8090947238234061,0.8221747388414056,0.8342526336712386,0.8481310320457608,0.8568773603657323,0.8644658671790458,0.8726301691417968,0.8803343082412847,0.8879440327114746,0.8960459437203627,0.9013542228658508,0.9061132880900323,0.911270401289781,0.9169333071464851,0.9210078465892415,0.925600562228469
705Н-Сидячий,0.2299670803686867,0.28148001039567305,0.327949976544354,0.3736942070275404,0.41185025000286035,0.45035412304488615,0.48634080481470043,0.5231226901909632,0.54911211798762,0.5726038055355325,0.5924266868041969,0.6086711518438426,0.6232565589995307,0.6397670453895352,0.6555023512854837,0.6719613496721931,0.68902104143068,0.7030166249041753,0.7121723360679185,0.722766278790375,0.7354168812000138,0.7470168014344721,0.7566660618869454,0.7672408804938926,0.7781842878228421,0.7880979350858871,0.7966658248786763,0.8075071551979187,0.8166512202656785,0.8250897362343146
707Н-Сидячий,0.43057169663595357,0.4825006170387694,0.535428649886481,0.5728432656143501,0.6127747457064727,0.6461973249121845,0.6767737617135205,0.7074360118536824,0.7297886703509193,0.7483266398929053,0.7627346994816876,0.7759671163285621,0.7858242085149714,0.7961875994004508,0.8065710133983225,0.8168657536127416,0.825306925708532,0.8315861737548482,0.8374277737731554,0.8426412201512604,0.8506472777557115,0.8569311025134319,0.8638305766819823,0.8687404072946242,0.8738358399000971,0.8791543871865156,0.8845628750247224,0.8895782560441196,0.894256513232417,0.8989578582952077
709Н-Сидячий,0.6312992195928704,0.6728136648771569,0.7134771643700214,0.746636190088571,0.7719881969881973,0.7922319450097225,0.8113055668611224,0.8270383937050603,0.8406372948039615,0.8466880341880341,0.8563458146791476,0.8671906796906794,0.8742820965043188,0.8829591190702301,0.8904914529914529,0.899295663184552,0.906556663501108,0.9137639623750741,0.9190945371500928,0.9232007190340525,0.9291109463728514,0.9339891369653271,0.9381671899529037,0.9430599162742018,0.9473135550516505,0.9506429637382018,0.9542640964267946,0.9562039298150411,0.9584181250847918,0.9605348905944143
751А-B1,0.5470458731437781,0.5980056406124094,0.6453973370169985,0.6912733586585318,0.73430029546065,0.7745903840988447,0.8253290357238784,0.8466962127316676,0.8622884770346491,0.8724012892828358,0.8816008595218904,0.8899543378995428,0.9004834810636577,0.9116841257050757,0.9207091055600315,0.9287268331990323,0.9343271555197413,0.9402497985495563,0.9495568090249794,0.9564061240934724,0.9632554391619655,0.9648670427074932,0.9647864625302169,0.9693795326349715,0.9746172441579368,0.9766317485898466,0.9768044203982961,0.9783584666743407,0.9791067111776215,0.9796678945550822
751А-C2,0.23830354008925428,0.3330483126911699,0.3979763158334586,0.4566966270537699,0.5131028431028434,0.5717573417573416,0.6187586287586287,0.6572551772551772,0.685873990873991,0.7135696735696739,0.7341166491166493,0.7530595530595531,0.7719907569907567,0.7892868842868843,0.8040604890604889,0.8155756405756405,0.8248508248508248,0.8340107640107642,0.8443629343629345,0.8551216801216802,0.8627301977301978,0.8697331561617279,0.8752360059502915,0.881949806949807,0.8881814003242575,0.8937577930435073,0.8984433970148258,0.9031828210399637,0.907551521837236,0.9111808236808238
