train,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
702Н-Сидячий,0.1328747714419406,0.5404223036658526,0.499900991883264,0.4348487527288124,-0.3733309471274084,-2.243195009815368,0.6998001690747929
704Н-СВ,0.2915276234384209,0.6006486791072161,0.260992226831504,0.5297505104254643,-0.338389688041835,-0.7748000845914326,-0.9058616051095346
704Н-Сидячий,0.3809374451659676,1.1138406017803684,0.6725833645959558,0.3349296458558767,-1.4893645391540833,-1.221252209161488,-0.0449059386436182
706Н-СВ,0.7332173663796532,0.6483546349100464,-0.6200279607658852,0.7853456057660813,-0.8393991342025933,-0.379382929616068,-0.5049802104930499
710Н-Сидячий,0.956563398611517,0.833225729236039,0.6701299168501499,-0.1617235645594394,-1.4579793301632027,-0.4772214304051853,-0.9375435896044444
752А-B2,0.097692839590815,0.2900437115906753,0.3016848266522744,-0.0894977321389066,-0.7511235339426136,-1.0181766068186715,0.7284563893064326
752А-C2,0.1060845487936191,0.5383895932700538,0.5968775202957345,0.0346867721351862,-1.0222902992089526,-1.34956947180296,0.6943533994760602
754А-B2,0.106817851460949,0.417546834921537,0.3318592402943189,-0.1661866194191346,-1.0102363938037269,-0.6492756016171056,0.6950325837192144
754А-C2,0.2277886637387242,0.4511099361998409,0.6048363923257327,-0.1158667096798718,-1.1737888594370318,-0.8644511070448746,0.5012633551479008
755А-C2,-0.5510905885062479,0.3872270188884743,0.6357617355865921,0.7029101539554214,-0.1014399484823214,-0.8511952246838175,-0.4842177874977254
756А-B2,-0.0865058207806976,0.4960437809935865,0.1869303018307848,-0.1417515897421701,-1.147004267542986,-0.2383761699458241,0.5565271944071629
756А-C2,0.1313507180636706,0.7084771600116169,0.6642376291327136,-0.2240469025584211,-1.2309835882281812,-0.8098036806169018,0.5036720877705148
759А-C2,-0.7404382068632078,0.8281749006012573,1.0646700665619075,0.5278950227307183,-0.4396998519102006,-0.737067787424471,-0.7961211630322668
760А-B2,-0.1682642894056865,0.6352674492106706,0.3684381395327819,-0.3020344274081732,-0.560298896585748,-0.5417760451514133,0.0260127364431444
760А-C2,-0.3699374552416571,0.6841167635547521,0.5178752853785216,-0.1026637852642562,-0.9890508562778594,-0.6750112793305658,0.2643999629508483
768А-C2,0.1655340232224676,0.9748328238020716,0.7771403659323,-0.0891679625297509,-1.483730258768387,-0.0344228418405066,-0.6697087552073889
001А-Купе,0.4480027835916325,0.6773252701580728,0.3889525122283649,0.4924057882127242,-0.5224561448755831,-0.2599207973627088,-1.299567775303397
005А-СВ,0.0650277019416097,0.708605666478111,0.2623901636274992,0.2316926887343907,-0.2192033461378794,-0.0853003943426901,-1.6431852498254769
703Н-СВ,0.2709299664831876,0.5961054712555124,0.6237512004235514,0.2581369012321641,0.0017280191715776,-0.2631952510886424,-1.592892608054664
703Н-Сидячий,0.0563609993399981,0.7412813536071048,0.6074997680555068,0.140291484049469,-0.3895103179779153,-0.0848615219583989,-1.553659287003497
705Н-СВ,0.6634242329548237,0.6392276144247573,0.3758853208913479,0.1564183108448427,-0.8067695128650559,0.6570502057945514,-1.8403960406873805
705Н-Сидячий,0.1732857501471274,0.7714613807284005,0.74707343134728,0.2890754143705566,-0.551092906087697,0.2947523971150836,-2.29925526996956
706Н-Сидячий,0.3997732289180787,1.0867280362846197,0.520625003377732,-0.1157649193070525,-1.0821932600414104,0.2763224838981425,-1.2877825954381013
707Н-СВ,0.3201408597748919,0.2580442379089476,0.3795569841816827,0.1919529120349519,-0.150417103997031,0.7284378491134311,-1.7629891126075057
707Н-Сидячий,0.388132280485558,0.5372797956142091,0.6032659615402685,0.0731225044016674,-0.3555671717239288,0.36514132129158,-2.542464283525516
709Н-СВ,0.5834274576124518,0.1584210124313084,0.3860826877245291,0.3610004238365024,0.1491280581438622,0.3679668979537776,-2.001701675762801
709Н-Сидячий,0.5579384236782283,0.5507485140920696,0.3728111264058035,0.4448524188247094,-0.0187169976353743,0.2263945279657577,-2.4464841671000475
765А-B1,0.1043166656974753,0.7088129261674068,0.5461505747594853,0.4523558967233522,-0.2724711076467064,-0.2105204043498125,-1.9140876913273368
765А-B2,-0.1786414688220785,0.4796866270502929,0.7472956165870124,0.3385832374470768,-0.1857614545816553,-0.2770693931197269,-1.60039671317034
765А-C1,-0.0410311533086143,0.4976482839273417,0.840179045592406,0.3091283019861657,0.0527044269461163,0.0757915277363213,-1.9868275932364208
765А-C2,-0.4171171436987303,0.7844400723843842,0.7959378405145109,0.7969755233971266,-0.2773377212366646,-0.2052163051692132,-1.7937578487711927
767А-B1,-0.0431228308817232,0.5611721479712048,0.4875439933395841,0.1769501211761112,-0.3743757379304486,0.0465954954593251,-1.4820691608020515
767А-B2,-0.019725562799005,0.7839503511612744,0.9029993839066532,0.2415654344853758,-0.3551588167213927,-0.2739874532154415,-1.9282075403485064
