train,0,1,2,3,4,5,6,7,8,9
001А-Купе,0.7894266946634653,0.894560231056615,0.9453292747843307,0.9681958355187403,0.9785215877019615,0.9853085082806188,0.9894836642018434,0.992777405233173,0.9953828915775388,0.9969218452769555
002А-Купе,0.8233800362119944,0.9102937886340916,0.9615445251774324,0.9800269707190948,0.9855200871947312,0.9892522109616211,0.992227309367126,0.9942859278807205,0.9960539834392453,0.9974941656424694
005А-СВ,0.8471173622104097,0.9290169469229185,0.9565866868460061,0.9752190602137499,0.9828524922427757,0.9880246775164089,0.9911515103992046,0.9935632516974314,0.9953998285246225,0.9965674441678134
006А-СВ,0.876930898222459,0.9485034764533407,0.9738561374903223,0.9823021457467244,0.9877634861713638,0.9909798500323885,0.9936565899105255,0.9950259634505231,0.9961363404484204,0.9968810582979484
701Н-СВ,0.6657647723696657,0.8030325305746113,0.8647465620112678,0.9106536681374171,0.9414765943260511,0.9580589172887204,0.9725339335193318,0.9826516431395883,0.9887476232265482,0.9932939930325185
701Н-Сидячий,0.8438346465147845,0.9268373802787659,0.9533520695190381,0.9731113818636935,0.9822200448345474,0.9881151679083959,0.9928731364445139,0.9953909180837685,0.9968758725044826,0.9979426688041595
702Н-СВ,0.5712588639334515,0.7780496672663493,0.8481977124676044,0.9056609134661201,0.9354795238067053,0.9593609169170636,0.9745526532694776,0.984737132575112,0.9912416862511093,0.9956291496219352
702Н-Сидячий,0.7410403141605783,0.9200413732367614,0.9534533221871611,0.9850429955838118,0.9924570202174668,0.9954367168437578,0.9970531955464925,0.9982581273291398,0.9991229429575423,0.9995037710561518
703Н-СВ,0.7805893891013379,0.8986102263486706,0.9303885809496062,0.9508434694035163,0.9655247359744296,0.9752401565692675,0.981186221074814,0.9863478004198176,0.9901469416897563,0.992993001415786
703Н-Сидячий,0.8541579205767309,0.9337561587337433,0.9561441503698125,0.9719834700429154,0.9838378022295456,0.9886255489073549,0.9924882812615371,0.9946730199731596,0.99616209113849,0.9974442058331613
704Н-СВ,0.7123838196825593,0.8248209358490566,0.907712846504721,0.9349284601038316,0.9589836369943547,0.9715308444445456,0.9789204801636282,0.9852120725035344,0.9904552124784576,0.9934621832204824
704Н-Сидячий,0.8865675451659573,0.9410977862589838,0.965507324547999,0.979476555578895,0.9853096351190669,0.9894120861561441,0.9927016368087908,0.9949370957097794,0.9969396772951952,0.9980130714937588
705Н-СВ,0.7726253879522296,0.9098090832447624,0.9339256931054454,0.9548870383168631,0.9720905645417762,0.9795691937128636,0.9851031651518579,0.9895328200242716,0.9928020590159503,0.9955116458914051
