train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
002А-Купе,0.3312177657651802,0.3852650410737444,0.42814626026701924,0.47770862968299604,0.5183644287685892,0.5512394836887873,0.578604922674462,0.6107373872729474,0.6285272531019314,0.6491385049283083,0.6603886831113333,0.687279682740355,0.7040061204941411,0.7187570056210432,0.7344866298683089,0.7510892672831745,0.7648820329380932,0.7807646692209811,0.7971741172926153,0.8103454965623206,0.8260580040095666,0.8377341858760738,0.8465626409056903,0.8580345408784614,0.8629621477916469,0.87049192625785,0.8773155297606855,0.8816652905668872,0.884613219468706,0.8892478461545055
005А-СВ,0.35451596876633656,0.40737093279573516,0.45613929318875984,0.48852399077939607,0.5196896991923515,0.5468795729308277,0.557842533857619,0.5875307173428513,0.6011735913921165,0.6287742632960666,0.6493380032688333,0.6676907979638343,0.6728190798534404,0.693856302424397,0.6999578808063616,0.7177114578399759,0.7329546124534589,0.7414859162737962,0.7590084225034455,0.7674134916939295,0.7816183571689942,0.788864856289547,0.7983227516472845,0.8023215201620303,0.8126958904259387,0.8209361827782058,0.826965792743608,0.8344375216166398,0.8567048342202094,0.8626959631135862
006А-СВ,0.28247624775958774,0.32715419893344305,0.3780267181665732,0.42164744751507754,0.4545249985720726,0.4953462084249637,0.5191610319637376,0.5496111687538382,0.5673878641551717,0.5839490734318487,0.5972957911990567,0.6207044337162165,0.6332896056095834,0.642849455228375,0.663056084478411,0.6805065952860656,0.6911946758139189,0.7041959087700651,0.709139292001669,0.7210169970139415,0.7304230040868882,0.7419766124108466,0.7516967044708768,0.7599314381618171,0.7702643292039679,0.779594580750771,0.7907257151234042,0.8043237655365961,0.8154864469251412,0.8223969737474376
701Н-Сидячий,0.38115121697676924,0.45725753329428925,0.515066535007102,0.5690359989471321,0.6188804535557839,0.6668605675455836,0.7011843990165214,0.7269854475022777,0.7424283144992425,0.7607700537864509,0.7745577786972617,0.7903207913915776,0.8032329959045006,0.8198634073851434,0.8328122754560247,0.8481301713403832,0.8597731796077993,0.8689367768466069,0.877051471241689,0.8856038915616912,0.8946050055904357,0.9016858896480957,0.9068713274069022,0.9131098967727251,0.920312644331218,0.9240582085390517,0.9287189922860369,0.9323485325535341,0.9362032791075038,0.9392923936811192
703Н-Сидячий,0.3917144436020621,0.447882823468948,0.4975154114681454,0.5380394851026188,0.5731714582015924,0.6077997880698949,0.6361948223994881,0.6684013197589724,0.6981957554575263,0.7145682222455506,0.7338808099968416,0.7510568511226291,0.7658718085280809,0.7825776982701018,0.7952884050715981,0.8102671517284334,0.8228866112445222,0.843811209090337,0.852094675612021,0.8595293476127243,0.8693817629540959,0.8788718976211665,0.8883169773575224,0.8991918065097133,0.9045736230173784,0.9106163836375638,0.9150066452349943,0.9206453864046988,0.9244370564352716,0.9282046869095204
704Н-Сидячий,0.3268361908599175,0.40445207429315333,0.4499424961427307,0.4956547588627914,0.5331578884050265,0.5713572356676231,0.6037157065826134,0.6344782430619496,0.6581278457243744,0.6843650176983508,0.7054303720970386,0.7243373910040577,0.7396184062850729,0.7592852980406479,0.7741517741517742,0.7861521194854529,0.796166796166796,0.8072174738841408,0.8156781490114826,0.8249346936755044,0.8333012206264435,0.8413218351024113,0.848046993683063,0.8541876096709913,0.8625486693249308,0.8697006401846612,0.8765596213881943,0.8862102839800061,0.8939961212709424,0.8938169297778829
705Н-Сидячий,0.2304321763815157,0.2722713683136572,0.3124097254993231,0.36480901740234895,0.3999802400020456,0.4403413081244372,0.47193987640074253,0.5172549613381181,0.5431250269839533,0.5679668841860237,0.589471435247219,0.6065287169283956,0.6216337700310139,0.6407263735877119,0.6581610088417972,0.675176968252383,0.6928347039474589,0.7079571842318156,0.7170027072868147,0.7288485461681563,0.7423604382911122,0.7543344004784817,0.7645722753407772,0.776770124331616,0.7897264933609988,0.8000967113783249,0.8093814302450448,0.8206946181515028,0.8295455682870616,0.8396847015774903
706Н-Сидячий,0.35361773977902056,0.4261788270585151,0.49637628507844517,0.5399773666212105,0.581150202007331,0.6177196622565831,0.6427757229660059,0.6672267421514747,0.6895887053363756,0.7095029616276076,0.7298480556270923,0.745042492917847,0.7570606919048846,0.7803629472026689,0.80178556099236,0.8168083097261568,0.8278822216499272,0.8374967808395571,0.8455661430165679,0.854829531338565,0.8681653504318404,0.8832320594635766,0.8891248634682825,0.8965056598150272,0.9012336867807147,0.9066993104504076,0.9118415049320086,0.9178948899831076,0.9250331088768274,0.9279419263961121
707Н-Сидячий,0.41815214197466,0.46484784249507144,0.5254993048780359,0.5537729223391953,0.5998675847012813,0.6326233835462616,0.6622692421543627,0.6976595934915133,0.720189650143813,0.7388465282631005,0.7527453476007465,0.7681401991867928,0.7784987411297571,0.7896394400103954,0.8010223326349133,0.8118771617533986,0.8208222842838345,0.82676412514078,0.8336191733781723,0.8397399349761223,0.8489326792954728,0.8567210407592672,0.8657327193004226,0.8711192199223287,0.8779166937119591,0.884644625019268,0.8888896997587787,0.8944118391333242,0.8999649186626665,0.9045753280987837
708Н-Сидячий,0.365301791145526,0.4415657406945168,0.5051932797083315,0.5580983819585481,0.5969328158097529,0.6364372794347828,0.6692117249243508,0.6939675492053463,0.7166494310387636,0.7340544252725554,0.749420551120268,0.7642716112971069,0.7767190316765387,0.797326340402009,0.8120868744098206,0.8264228689157866,0.8388702892952186,0.8485706927633275,0.8562966778264229,0.8624036645738994,0.8702610667824253,0.8784968990949736,0.8840355180078066,0.890169354713096,0.8938468871879982,0.897489655540408,0.9073842237043989,0.9104374725428729,0.9144553746125708,0.9203006871601449
