train,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
006А-СВ,0.34110748622051273,0.5404523007883293,0.4330107843455906,-0.45173098697829234,-0.9926707307734344,0.12079957463944752,-0.09209060202226212
701Н-СВ,-0.7319947703728524,-0.48558028110035223,-0.25385785152767004,0.07841552036731178,0.47608128233190805,0.2753480351539002,0.6814788998256319
701Н-Сидячий,-0.6286046144524723,0.7073947913311471,0.3229433589377858,0.30258633127969436,0.3962495903230078,-0.8488962073483488,-0.40099702598832826
703Н-СВ,0.22335827406455416,0.5051625555048844,0.5534010071861349,0.40758087283937044,-0.05054099646151808,-0.19551992256105402,-1.6922389677086935
703Н-Сидячий,-0.22725562473140315,0.7290868213755868,0.6750452994491796,0.3153353901090499,-0.12107314895494083,-0.06323835684806199,-1.5927685955911977
705Н-СВ,0.6641221285483989,0.5174754865133727,0.39087953742104387,0.0007907201234485365,-0.9946552016305773,0.4102291350798786,-1.798103366149493
705Н-Сидячий,0.11826196946284377,0.8601439758660896,0.7412516495886086,0.34521635856707156,-0.48832070539296246,0.150598102887676,-2.3561890605613125
707Н-СВ,0.4048068563344037,0.20098948062460548,0.22406517464490694,0.15947453824301322,-0.137405988836455,0.6721587051932928,-2.0191007782826262
707Н-Сидячий,0.4006685931424033,0.48269899330008115,0.6367694683928554,0.05837126333733943,-0.15748316772686372,0.30696952942102435,-2.6694530153203853
709Н-СВ,0.40366909177118937,0.14490513638774194,0.4144080664413558,0.21772619779074678,0.10433511643260222,0.10120384114060817,-2.4446678321217
709Н-Сидячий,0.5117315403350546,0.5154322213493165,0.3975077770922449,0.45370785451685136,0.035898997715428926,0.017946157426602338,-2.675278876840528
751А-B1,-1.0538484806712634,-0.262069419660578,-0.1784488999219939,-0.5129178453311616,0.6605068703459246,0.5733216190277188,0.648077178127119
751А-B2,-1.4080642025425658,-0.16109112028006617,-0.3998491680735669,-0.26305431843085597,0.8392453083247414,0.4239194514637392,0.7405936126945879
751А-C1,-1.013065286890086,-0.5554632445344764,-0.3524082995737626,-0.4164625421400082,0.43852941323877026,0.7701801040993104,0.7558196617083527
751А-C2,-1.7635953854889692,0.20169909834988334,0.3589092628081659,0.5995593467668033,0.7681414406985617,-0.3442040117498109,0.38746590524672764
752А-B1,-1.025875462421136,-0.09938354291195126,0.4199840196261584,0.03318442047283118,-0.475107781658008,0.681429870124115,0.7273233937596445
752А-B2,0.18547069773783312,0.05797147116269336,0.3436534007716465,-0.16902750308715647,-0.713865413432521,-0.6892746077716311,0.8263434384647024
752А-C1,0.16256261721701412,-0.3819526145312685,-0.003863179832244702,-0.6646954994712202,-0.3832617781956546,0.3504006373634759,0.9251351482741206
752А-C2,0.11651384864830018,0.6124398738710551,0.5563927774922781,-0.11756472242439181,-0.7978315234303586,-1.2994522573481482,0.6877678354492739
753А-B1,-0.549098663573549,-0.8198917916773091,0.022094481114366325,-0.3119670615504432,0.40379244232173334,0.4958259428875886,0.8251313758298322
753А-B2,-1.2540235319970265,-0.4399768675497661,0.16365733537801486,0.26307103239474566,0.5394322110607098,0.12141251254761871,0.4412347635402891
753А-C1,-1.043907799448371,-0.562262049142884,-0.280582935031544,0.10357662099145766,0.2809450080032628,0.49806679143030835,0.8750012751673676
753А-C2,-0.9788671620920756,0.16063120567593459,0.6758120782697707,0.6199495961631112,0.28660961123862094,-0.760447845607467,-0.08952515291869273
