train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
001А-Купе,0.15969869346784468,0.17565213728162465,0.18289775133069197,0.18383052727696558,0.18308647548029638,0.18341096399137474,0.18286359836575983,0.18088071795639588,0.1732961134299915,0.16676603474930835,0.1593654497450961,0.1512353592839261,0.1445131688294057,0.13561363294346918,0.12807244090325504,0.11497942080447267,0.10043408386554153,0.09357366324932478,0.08683730720713675,0.08266271179856398,0.0747689710673341,0.0697492936639771,0.06724076397436589,0.06346359045022452,0.06044140243460161,0.05982245373088142,0.05611655216580976,0.053821286788999834,0.05102448063277606,0.049882072786530146
002А-Купе,0.12553479251519023,0.13875633003774152,0.15710405714519426,0.1749437781020307,0.18898340852121187,0.19483626643880797,0.20031504194762625,0.2000967038231169,0.20137753571097222,0.20318791650199003,0.2020957525465293,0.19623870616122777,0.19530913123740362,0.18555715812597606,0.17949695993618464,0.168451322026577,0.16035864392083346,0.15188058342744157,0.13843419385191413,0.13179046961071583,0.11766798466312507,0.10684329011916682,0.09702309219742751,0.08577612536332531,0.08028682487297718,0.07501637061356593,0.07032700680479095,0.06754594174183605,0.06450972088383396,0.059366675376569034
005А-СВ,0.2176354440483697,0.22776719992658695,0.24246285789174307,0.25044533781150036,0.2529310353947024,0.2568665413050406,0.2629821319800082,0.2655427311403917,0.26582813453741216,0.24700063647308715,0.23886133123145314,0.23946752746398903,0.23151800840664213,0.2195608199264203,0.21638653172424877,0.20472955225621403,0.19205633502300443,0.19002438236282376,0.17683653361381677,0.16924824660442367,0.16025537371211057,0.15129086901325692,0.13961639611452478,0.1372148814097366,0.12851142234390792,0.12301584978457776,0.11708339630967331,0.10970228467755981,0.09682639737425444,0.09394660680816164
006А-СВ,0.18375576696669463,0.18823998237157946,0.20109510361128613,0.21320995685627261,0.21760828183458714,0.223580007350394,0.23282634304020908,0.23151722618893142,0.2352373322852582,0.2341090065533151,0.23108616052357372,0.2301075835785878,0.22645710487495962,0.22396423570103158,0.21974076016856303,0.21403073963190872,0.20561129377296192,0.20236923757862593,0.20122015541358215,0.19710971326733998,0.19058743005859657,0.18149809151891266,0.17536219722128718,0.1767258673943971,0.17354041042028512,0.16841017954662005,0.16331946997715796,0.15586212107934186,0.14528411469511965,0.14142654609274874
701Н-СВ,0.19538441511725696,0.20820716630353836,0.2104490769787839,0.1828499183645532,0.1467278134193265,0.11731447672280024,0.09686666027982384,0.08495450357406328,0.07723327924672083,0.06642728429925787,0.058402151769357515,0.04700544621594096,0.045252018378949745,0.03730139206081278,0.03289966433832218,0.03150379398369503,0.03261497331657997,0.02975407659192453,0.02789253487931914,0.023174625774617427,0.020112005965207205,0.01764307251704304,0.017550955281183667,0.019079334761743037,0.018556646816241907,0.015115265495577714,0.010891932640736623,0.010404696639812453,0.00856518152262575,0.008418271546753672
701Н-Сидячий,0.09954626403340662,0.12088165211190216,0.12453179663597627,0.12134708529297358,0.11558146445968952,0.10352340878415145,0.09684327386825403,0.09058585820512989,0.08353524196252803,0.07644212557803517,0.06913401784582981,0.06259489832196012,0.057763125127006605,0.05185592080412571,0.049277990060303006,0.04317251906846732,0.037510493251264924,0.03475219291445046,0.030067651761148343,0.02726129972840309,0.024387995302328356,0.02239415222193829,0.020597708814458902,0.019329683156110927,0.018015029213074903,0.017117478769161112,0.016152396212993567,0.014472108115378787,0.013862126051763235,0.01308003588256976
703Н-СВ,0.17123408203232504,0.18797466233861077,0.18656825678085087,0.19312455315581503,0.18787867671994268,0.17514205901976923,0.16863110239414325,0.1599129578095158,0.1607557652879962,0.15384223041311376,0.14727391766342876,0.13699773186841746,0.12481421045097604,0.11941716703198674,0.12091863953804731,0.11172222719382088,0.09807353674063685,0.08663382835499911,0.08092501360544273,0.07555565891993944,0.06939389190027694,0.06682969697886752,0.06279394456034586,0.05919833686440612,0.05922121478983291,0.058544890135688935,0.05057178646615772,0.04767448429986344,0.04323929363658772,0.037895647451028344
703Н-Сидячий,0.14512918203539243,0.15902258263060012,0.1642013063864407,0.16492021086263675,0.16569136236774126,0.16864402187433916,0.16831468543468842,0.16255607023117047,0.15608420344857712,0.14846096282861376,0.13866379601782317,0.12953386812007978,0.12164000244004436,0.11560168904197018,0.11128899929165216,0.10207122787012292,0.0929496421502636,0.07524699345968501,0.06779740798060271,0.06336958313661974,0.059349831061890845,0.05518811061613752,0.04907214593316109,0.04212809492575445,0.04061482273775701,0.039107940100631976,0.0364100919927458,0.035509010780255534,0.03461023470336303,0.03310302941987578
705Н-СВ,0.2333162659354865,0.23891615103029437,0.2354315191097764,0.21998379082740227,0.20228796911412283,0.19400211961796862,0.1638551475876942,0.14220259998512771,0.1256965563373441,0.11406251793208859,0.10464954388207949,0.09663390814286144,0.09130052663842482,0.08126777638921558,0.07241852633688711,0.06622923559907146,0.056498351114874674,0.05015347066265446,0.04950092224629342,0.041543147881937414,0.03997899595231706,0.032292104334819986,0.030485580886018056,0.024314636846079585,0.02010810000358768,0.01950406912317554,0.016769357746876767,0.014224951189262107,0.011500522976982844,0.009209883519751487
705Н-Сидячий,0.1261985037286904,0.14735223706060313,0.1634441520778188,0.1775909978656105,0.19417822506761112,0.20679947125835527,0.21389467472373108,0.21794768136473952,0.21731248181728896,0.21712264931262704,0.21727507487902004,0.2201354261661899,0.22044165518891887,0.22152752882319643,0.22018379052332657,0.2186495303573768,0.2103318733112433,0.20419701999317835,0.20054017642232755,0.19847602537762332,0.1930787004581774,0.1889124988639397,0.18578583585358702,0.18022131554895482,0.1748616878763333,0.1685574530704522,0.16202846657767098,0.15644780911729012,0.15190771625441882,0.14699387228655608
