train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
001А-Купе,0.3829929175617615,0.43617078410311494,0.48505169172932333,0.5348825187969923,0.5815883458646615,0.6204229323308269,0.6528477443609024,0.6779464285714285,0.701047932330827,0.7175704887218044,0.7342966791979947,0.7499843358395992,0.7642669172932329,0.7820112781954887,0.7953305137844612,0.8090961779448621,0.8246788847117795,0.8355842731829574,0.8447744360902254,0.8521672484783386,0.8620170963122095,0.869298021840315,0.8749279448621552,0.881827336197637,0.8876776763336911,0.8914424453992119,0.8990471715001791,0.9041286251342643,0.9074248120300753,0.9104770855710707
002А-Купе,0.34323279616724733,0.389055845915602,0.4410456187895212,0.48766373080397485,0.5274390243902438,0.5599593495934959,0.5906108852755195,0.6163448509485098,0.6348591350496838,0.6548554652213189,0.6687415311653118,0.6916045618789521,0.7086029245709125,0.7226019083107497,0.7361040537488708,0.7512632678410118,0.7650533536585366,0.7777213188798555,0.792654697380307,0.805054482836495,0.818308814040521,0.8297504113433989,0.8391373080397467,0.8496279761904761,0.8557408617240935,0.863280745902697,0.8695432475158081,0.8746604400567815,0.8792797861014322,0.8847230287779069
005А-СВ,0.38542249091417385,0.446339460441711,0.4850608051439755,0.5181908722393067,0.5496715124405925,0.5802348336594911,0.5949119373776908,0.6172211350293542,0.6324363992172211,0.6574363992172213,0.6782778864970648,0.6931506849315067,0.7003098499673839,0.7181099151989564,0.7260273972602739,0.7410388127853881,0.7532615786040445,0.7632093933463797,0.7784572733202871,0.7872961513372473,0.7963796477495109,0.8030332681017615,0.8093024881185352,0.8138104556891249,0.8215473860777188,0.8285155157953592,0.8365389991613085,0.8435840089460444,0.8558149287112106,0.8623846798993571
006А-СВ,0.3351413431226149,0.37469201095072174,0.42389300232288063,0.46230400696864127,0.4955320847851336,0.5281358885017421,0.5589140534262484,0.5853368176538909,0.6064242160278744,0.6220963995354236,0.6379645760743321,0.6533972125435539,0.6655995934959349,0.6785278745644595,0.6948315911730544,0.7101480836236932,0.717682926829268,0.7293554006968639,0.7358013937282232,0.7467479674796749,0.7558714949394392,0.764511780321885,0.7727891156462589,0.7808486809357892,0.7899825783972126,0.7977663016426082,0.8080803052928489,0.8185809689729552,0.8277750124440022,0.832794093247055
701Н-СВ,0.37924219484541777,0.4700272385376914,0.5617015098722414,0.636759581881533,0.7098335269066975,0.7668118466898951,0.8109175377468059,0.8399003097173827,0.8596883468834683,0.8776858304297321,0.8876306620209053,0.8992450638792095,0.9093108788230736,0.919231513743708,0.9253774680603942,0.9313298490127752,0.9346689895470378,0.9380468447541613,0.943602400309717,0.9490127758420437,0.9528745644599298,0.955284552845528,0.9554297328687569,0.9586236933797905,0.9600271002710022,0.9641474475969244,0.9673967147834737,0.9677907748465233,0.9687655550024881,0.9711921353907412
701Н-Сидячий,0.4281790648358107,0.49806028774282723,0.5638893734131829,0.618110064538636,0.6684133767467101,0.708739203183648,0.7401901596346044,0.7640070320625879,0.781357120246009,0.7975681725681725,0.8101682268348934,0.8237009903676568,0.833488784877674,0.8452437480215257,0.8548647854203408,0.865624858680414,0.8735952833175052,0.8803220955998735,0.8857402885180664,0.89189108216886,0.8980749849797472,0.9048189171205046,0.9099445381191412,0.9155074422931564,0.9204307743990282,0.9246440361519725,0.9287359649462823,0.9330324033697048,0.936632943775801,0.9402254491540202
703Н-СВ,0.38478228593024516,0.44786267681675845,0.5165107709750569,0.5817743764172336,0.6336404006046861,0.6783257747543461,0.7203184051398335,0.7518707482993198,0.7795493197278907,0.7969104308390023,0.8144841269841265,0.8275226757369609,0.8466080876795159,0.8595993953136805,0.8669690098261523,0.8794879062736202,0.8894557823129248,0.8980631141345424,0.9063869992441415,0.9157029478458043,0.9200113378684801,0.9254535147392282,0.9356575963718813,0.9384920634920627,0.9410430839002262,0.9424097019760279,0.9457604470359565,0.9485442986718489,0.9522291059280845,0.9560961289277609
703Н-Сидячий,0.4155013716544724,0.46653920297331125,0.5161415888160074,0.5575763599019412,0.5968776916451334,0.6307051834183615,0.6592570507299189,0.6891975308641977,0.7153641864882175,0.7340074869144636,0.7521450341217781,0.7680630093420789,0.781612336844895,0.7972901344994371,0.8090947238234061,0.8221747388414056,0.8342526336712386,0.8481310320457608,0.8568773603657323,0.8644658671790458,0.8726301691417968,0.8803343082412847,0.8879440327114746,0.8960459437203627,0.9013542228658508,0.9061132880900323,0.911270401289781,0.9169333071464851,0.9210078465892415,0.925600562228469
705Н-СВ,0.382709198397974,0.4530737403186384,0.5179874547221486,0.5798347910592807,0.6401154401154401,0.6931972789115645,0.7392032570603998,0.7874510410224697,0.8134096062667489,0.8304215625644195,0.8474541331684187,0.8613172541743964,0.8709802102659242,0.8811069882498449,0.8906668728097293,0.895330859616573,0.9030869923727062,0.9148886827458248,0.9197588126159549,0.9303494124922691,0.9353741496598631,0.9428991076950254,0.9484362576199303,0.9575735489000787,0.9611449774715072,0.9624414700945306,0.9645507553670811,0.9685153282092049,0.9706908737520975,0.9748763141620279
705Н-Сидячий,0.2299670803686867,0.28148001039567305,0.327949976544354,0.3736942070275404,0.41185025000286035,0.45035412304488615,0.48634080481470043,0.5231226901909632,0.54911211798762,0.5726038055355325,0.5924266868041969,0.6086711518438426,0.6232565589995307,0.6397670453895352,0.6555023512854837,0.6719613496721931,0.68902104143068,0.7030166249041753,0.7121723360679185,0.722766278790375,0.7354168812000138,0.7470168014344721,0.7566660618869454,0.7672408804938926,0.7781842878228421,0.7880979350858871,0.7966658248786763,0.8075071551979187,0.8166512202656785,0.8250897362343146
