Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;2472;3747;2658;2658;2726;3168;6478;2658;4301;1898;2726;3701;0;0;2658;4608;2658;2658;;4301;6478;2759;0;2759;2658;2943;0;;0;0;4281;3000;2842;3347;6001;2943;2799;6377;2759;2658;3246;0;2658;3587;2827
2;2472;3445;2658;2658;2658;3000;0;2658;3747;1898;2658;3074;3747;0;2658;4301;2658;2658;2658;;0;2658;4701;2658;2658;2726;0;;4281;0;4180;3101;2827;3120;5900;2827;2298;6478;2658;2658;3120;6001;2658;3486;2658
3;2472;3269;2472;2658;2658;2908;4281;2658;3445;1898;2658;2842;3344;6001;2490;3747;2490;2490;2658;3000;;2658;4301;2658;2658;2658;0;0;3863;2515;4180;2908;2827;3120;6001;2827;2399;6001;2658;2658;3034;3863;2658;3246;2658
4;2542;3313;2386;2542;2738;2946;3711;2738;3493;1898;2738;2932;3212;4347;2562;3493;2562;2562;2738;2946;4347;;3801;2562;2738;2738;5183;0;3459;2399;4246;2946;2911;3226;6002;2738;2399;4347;2738;2738;3136;3900;2738;3327;2738
5;2542;3141;2386;2386;2562;2946;3711;2738;3313;1898;2738;2932;3212;4347;2562;3313;2562;2562;2738;2946;4001;2562;;2562;2562;2738;5183;0;3327;2399;4246;2946;2738;3226;6002;2738;2399;4658;2738;2738;3136;3610;2738;3226;2738
6;2542;2946;2386;2386;2562;2946;3459;2562;3040;1898;2562;2738;3212;4001;2562;3141;2396;2396;2562;2946;3711;2562;3313;;2562;2738;4367;0;3136;2399;4246;2946;2738;3136;4246;2738;2399;4246;2738;2738;3136;3610;2738;3226;2562
7;2386;2946;2386;2386;2562;2946;3459;2562;3040;1898;2562;2738;3040;4001;2562;3141;2396;2396;2562;2946;3459;2562;3212;2562;;2738;3801;0;3136;2399;4246;2946;2738;3136;6103;2738;2399;4347;2738;2738;3136;3610;2562;3136;2562
8;2386;2946;2386;2386;2562;2946;3327;2386;3040;1898;2562;2738;2946;3610;2562;3047;2396;2396;2562;2946;3459;2562;3212;2562;2562;;3801;0;3008;2399;4246;2946;2738;3136;6002;2738;2298;4001;2738;2562;3136;3610;2562;3136;2562
9;2386;2946;2386;2224;2396;2802;3136;2386;2946;1898;2562;2562;2946;3459;2396;2946;2396;2396;2396;2802;3327;2562;3040;2396;2562;2562;;0;3008;2399;4246;2802;2738;3136;6002;2738;2399;4001;2738;2562;3136;3358;2562;3136;2562
10;2440;2984;2440;2270;2448;2838;3242;2440;2984;1898;2622;2622;2984;3437;2448;2984;2448;2448;2448;2838;3437;2622;3080;2448;2622;2622;3357;;3108;2399;4731;2838;2806;3242;6104;2806;2399;3958;2806;2622;3242;3476;2622;3242;2622
