Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;3;13;;;;;;8;5;;;;;;;;;;;;;;;;;;;;;0;6;;17;14;12;6;11;2;;;;;2;0;
2;6;13;;;;;;12;5;;;;;;;;;;;;;;;;;;;;0;;6;;17;16;12;7;13;2;;;;;2;0;
3;5;15;;;;;;14;7;;;;;;;;;;;;;;;;;;;;0;;8;;17;16;15;7;13;2;;;;;6;1;
4;8;17;;;;;;16;7;;;;;;;;;;;;;;;;;;;0;0;;11;;17;16;16;7;13;5;;;;;10;0;
5;11;17;;;;;;16;9;;;;;;;;;;;;;;;;;;;0;0;;13;;17;16;16;7;14;5;;;;;11;5;
6;15;17;;;;;;16;9;;;;;;;;;;;;;;;;;;;1;0;1;10;;17;16;16;7;14;6;;;;;11;5;
7;15;17;;;;;;16;9;;;;;;;;;;;;;;;;;;;2;0;1;10;;;17;16;7;14;6;;;;;11;6;
8;16;17;;;;;;16;9;;;;;;;;;;;;;;;;;;;6;0;1;10;;;;17;7;16;6;;;;;11;6;
9;16;17;;;;;;16;9;;;;;;;;;;;;;;;;;;;6;0;8;10;;;;;7;16;6;;;;;11;6;
10;16;17;;;;;;16;9;;;;;;;;;;;;;;;;;;;;0;10;10;;;;;7;16;6;;;;;11;6;
