Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;1980;2199;1587;1718;1718;2003;2737;1680;2237;1278;1278;1607;1881;3025;1747;2458;1427;1278;;1913;2786;1945;2502;1278;1945;1805;3887;;2710;2594;2826;2416;3248;2594;4146;1911;3248;3640;2237;2148;3248;3609;2210;2210;1613
2;1980;2199;1587;1653;1718;2003;2689;1680;2237;1278;1278;1607;1881;2255;1747;2416;1427;1278;1777;;2786;1913;2502;1278;1945;1805;3887;5275;2710;2594;2630;2416;3248;3495;4146;1774;3000;3640;2237;2148;1774;2737;2210;2210;1613
3;2363;2199;1587;1653;1718;2003;2689;1653;2237;1278;1278;1607;1881;2255;1680;2237;1427;1278;1777;1913;;1913;1931;1278;1805;1805;3887;;2710;2594;2630;2237;3248;3495;4146;1638;3000;3640;2237;2148;1774;2737;2237;2210;1613
4;2363;2199;1587;1653;1718;2003;2689;1653;2199;1278;1278;1607;1747;2737;1680;2237;1427;1278;1708;1913;2577;;1931;1278;1805;1805;3887;;3656;2594;3545;2237;3248;2594;4146;3248;3248;3640;2148;2148;1774;2737;2237;2237;1762
5;1980;2199;1335;1653;1718;2003;2689;1653;2199;1278;1278;1607;1747;2737;1680;2237;1427;1278;1680;1777;2577;1777;;1278;1278;1805;3887;;2710;2594;2630;2237;3248;2594;4146;3248;3248;3382;2148;2148;1774;2737;2148;2237;2059
6;1849;2199;1335;1587;1718;2003;2689;1587;2111;1278;1278;1607;1747;2737;1680;2237;1427;1278;1680;1747;2577;1777;1931;;1278;1777;3887;;2710;2416;2630;2237;3248;2594;4146;3248;3248;3382;2148;2148;1774;2737;2237;2237;2059
7;1849;2111;1521;1587;1787;2003;2487;1587;2111;1278;1278;1463;1747;2532;1680;2237;1427;1278;1680;1747;2532;1777;1931;1278;;1777;3817;;2523;2416;2630;2237;1638;2416;4146;1762;3248;3382;2237;1445;1774;2737;2148;2237;2059
8;1849;2199;1521;1587;1787;2003;2487;1587;2111;1278;1278;1463;1653;2532;1680;2237;1427;1278;1680;1747;2532;1747;1931;1278;1278;;3817;;2523;2416;2630;2237;1638;2416;4146;3000;1762;3382;1445;1445;1638;2737;2148;2237;2059
9;1099;2199;1521;1587;1653;2003;2487;1587;2111;1278;1278;1463;1653;2487;1680;2237;1427;1278;1680;1747;2532;1747;1931;1278;1278;1708;;5275;2523;2416;2630;2237;1638;2416;4146;3000;3000;3382;1445;1445;1638;2737;2148;2237;2059
10;1099;2199;1521;1587;1653;1718;2689;1587;2111;1278;1278;1463;1653;2487;1653;2237;1427;1278;1680;1747;2532;1747;1931;1278;1278;1708;3817;;2523;2416;2630;1445;1638;2416;4146;3000;3000;3382;1445;1445;1638;2737;1445;2237;2059
