Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;153;3;195;228;165;26;1;159;2;136;70;;0;;126;0;196;117;;0;0;45;0;183;91;0;0;;0;0;16;170;118;25;9;136;1;4;178;187;76;1;108;0;207
2;192;1;220;247;216;99;0;197;0;159;90;52;0;0;159;2;213;136;87;;0;78;1;204;119;19;0;;14;0;20;195;149;39;6;154;0;0;187;205;115;0;143;6;229
3;214;7;244;257;238;148;0;217;0;163;126;65;15;0;174;0;245;155;116;45;;83;0;234;138;38;0;;28;2;15;205;177;55;4;162;0;0;204;210;135;0;191;1;262
4;218;26;264;289;244;170;18;234;1;249;137;101;37;0;206;8;274;201;131;63;0;;0;254;181;56;0;;56;8;13;220;195;66;6;187;0;0;223;225;145;15;209;2;279
5;266;33;282;304;269;185;36;254;41;267;228;114;60;0;232;27;296;227;171;81;0;148;;260;203;97;1;;83;1;12;247;205;82;8;211;7;0;238;233;154;29;217;0;290
6;274;70;290;324;285;208;55;262;66;290;266;206;74;0;241;64;306;244;202;119;0;156;25;;211;140;0;;112;1;11;261;221;90;11;223;4;15;253;243;180;39;228;13;303
7;285;101;304;325;299;227;94;267;79;304;284;248;147;2;256;86;315;262;226;153;7;163;42;310;;143;1;0;136;1;18;276;246;127;2;238;7;36;268;253;195;51;232;24;312
8;296;114;309;339;299;243;120;288;92;309;298;266;183;37;257;106;317;276;251;177;37;181;52;308;295;;0;;181;0;21;291;261;142;6;252;21;42;275;263;204;77;239;45;313
9;300;150;311;345;319;252;130;295;107;318;299;291;207;68;272;113;319;280;263;197;66;193;68;312;297;204;;;193;2;20;296;268;154;11;269;41;55;279;274;211;96;246;58;314
10;306;172;312;347;322;277;133;298;138;320;305;295;232;82;289;150;320;283;265;208;83;213;90;316;303;207;26;;198;2;18;305;277;161;5;279;70;65;286;276;219;112;250;72;315
