Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;5801;8149;6173;5801;6173;6857;12657;5801;9257;4653;7457;10057;0;;6529;10857;6541;6937;;10857;;6529;10857;6541;7457;10057;0;;9217;5534;9298;6938;6390;7430;12738;6390;5534;9298;6254;6254;7178;12738;6254;7910;6254
2;5801;7545;6173;5801;6173;6673;12657;5801;8149;4653;7457;10057;10857;13611;6221;10857;6309;6937;7429;;;6529;10857;6541;6937;7429;10857;;8381;5453;8462;6754;6390;7178;12738;6390;5534;9298;6254;6254;7006;12738;6254;7910;6254
3;5801;7193;5505;5801;6173;6673;9217;5801;7545;4653;7457;10057;10857;12657;6221;9257;6309;6529;7005;9257;;6529;10857;6309;6937;7429;10857;;7829;5453;9217;6754;6254;7178;9298;6254;5534;9298;6254;6254;7006;8462;6254;7910;6254
4;5941;6937;5629;5629;6333;6749;8077;5941;7641;4653;7641;10353;11021;12861;6085;8257;6333;6385;7209;9389;12861;;9389;6333;6709;7657;11021;0;7309;5453;9349;6749;6414;7210;12942;6414;5534;9430;6414;6414;7210;8158;6414;7390;6414
5;5629;6937;5629;5629;5981;6749;8077;5941;7281;4653;6709;10353;11021;12861;5941;8257;6333;5941;6721;8257;12861;6085;;6333;6385;7209;9389;0;7129;5453;9349;6749;6333;7210;12942;6414;5534;9430;6414;6414;7210;8158;6062;7390;6062
6;5629;6749;5629;5629;5981;6749;7573;5629;6937;4653;6385;8269;11021;12861;5941;7641;6333;5941;6721;8257;9349;6085;8257;;6385;6721;9389;0;7129;5453;9349;6749;6333;7129;9430;6414;5534;9430;6414;6414;7210;7654;6062;7210;6062
7;5629;6749;5305;5629;5981;6461;7309;5629;6937;4653;6085;7657;9389;12861;5941;7281;5981;5941;6477;7641;9349;5941;8257;5981;;6721;8257;0;7129;5453;9349;6749;6333;7129;9349;6414;5534;8738;6414;6414;6954;7654;6062;7210;6062
8;5629;6749;5305;5305;5981;6461;7129;5629;6749;4653;5941;7209;7641;9349;5941;7281;5981;5941;6333;7281;8657;5941;8257;5981;5941;;8257;0;7129;5453;9349;6749;6333;7129;9349;6333;5534;8738;6414;6062;6954;7390;6062;7210;6062
9;5629;6749;5305;5305;5649;6461;7129;5629;6749;4653;5941;6721;7281;8657;5941;7281;5981;5941;6333;7281;8657;5941;7641;5981;5941;6333;;12861;7129;5453;9349;6461;6333;7129;9349;6333;5453;8738;6062;6062;6954;7210;6062;7210;6062
10;5737;6825;5397;5397;5753;6533;7341;5737;6825;4653;6061;6869;7369;8773;5737;7017;6101;6061;6469;7017;8337;6061;7737;6101;6061;6469;7369;;7341;5453;9481;6533;6101;7341;9481;6469;5453;8337;6182;6182;7154;7422;6182;7422;6182
