Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;33;31;31;23;29;23;0;42;22;29;21;;1;;27;16;26;27;;4;0;30;14;18;11;9;0;;34;2;14;40;31;26;16;36;30;26;37;36;24;2;34;20;23
2;34;32;37;25;32;28;14;42;24;32;22;6;8;0;30;25;28;27;23;;0;31;20;21;17;17;0;;39;7;18;40;35;28;20;38;34;27;38;38;30;21;35;19;24
3;37;38;40;27;32;34;20;44;34;33;24;9;17;0;32;29;36;26;25;21;;32;23;28;19;23;3;;39;15;19;40;35;35;24;41;34;30;38;38;31;32;41;25;29
4;37;39;43;33;32;35;25;44;38;37;24;10;17;11;33;31;37;33;25;24;17;;23;31;22;25;7;;41;18;25;40;35;35;24;40;34;31;41;38;33;33;41;27;32
5;39;39;43;37;36;36;25;44;38;40;33;11;20;11;36;32;37;35;28;25;21;34;;31;26;29;10;;41;25;23;39;38;35;23;40;36;33;41;40;34;34;41;33;33
6;38;42;43;38;39;39;27;44;39;41;35;29;22;11;37;33;40;39;29;27;23;37;29;;26;31;25;;41;26;25;39;40;35;23;40;36;34;42;40;34;34;41;33;36
7;38;42;44;38;42;39;27;44;40;41;37;32;29;11;37;35;41;40;32;36;29;38;30;40;;31;28;0;41;27;22;40;41;36;24;40;36;35;42;42;34;35;43;33;36
8;38;42;44;41;42;39;29;44;40;41;37;33;31;18;37;39;42;40;36;39;29;38;32;40;33;;30;;41;29;25;41;41;36;20;40;36;35;42;43;36;36;43;33;37
9;38;44;44;41;42;39;30;44;41;41;37;34;34;20;39;40;42;40;37;39;37;38;35;40;33;37;;;41;43;25;41;40;36;20;40;36;35;42;43;36;37;43;34;37
10;40;44;44;41;42;41;30;44;41;42;37;36;35;25;39;41;42;40;37;39;38;38;37;40;33;38;42;;41;43;26;41;40;35;20;41;38;35;42;43;36;37;43;35;37
