Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;4704;3186;0;3578;3790;0;4704;4704;3044;0;3346;0;0;0;0;3804;0;0;;0;0;0;3804;0;0;0;0;0;0;;0;0;0;0;0;0;2802;4684;0;4104;0;0;4989;3578;0
2;4150;3044;0;3578;3346;3790;4150;4150;3044;4150;3346;3230;3790;0;0;3544;0;3790;3346;;0;0;3544;0;3578;3346;4104;0;0;0;0;0;0;0;0;0;2802;4684;4684;4104;0;0;4266;3578;0
3;3848;2976;3848;3578;3346;3578;3848;3848;2976;4150;3230;3230;3578;4704;4704;3340;4704;3578;3346;3790;;5504;3340;4704;3578;3346;3790;0;6404;0;6404;6404;5104;4104;6404;6404;2802;4684;4266;4104;4104;5504;3990;3346;4684
4;3896;3046;3716;3314;3314;3680;3716;3896;3046;3544;3314;3314;3436;4204;4204;3268;3896;3436;3436;3904;4770;;3430;4204;3436;3436;3904;0;6506;0;6506;6506;4210;4210;6506;6506;2802;4404;4404;3904;4210;5586;4114;3314;4404
5;3716;3046;3544;3242;3242;3436;3716;3716;3046;3450;3242;3314;3436;4204;4204;3118;3716;3314;3314;3904;4770;4770;;4204;3314;3314;3904;0;6506;0;4750;4750;4210;4210;6506;6506;2802;4404;4114;3680;4210;4770;4114;3314;4114
6;3544;3046;3544;3242;3242;3436;3716;3544;3046;3450;3242;3242;3436;3896;3896;3046;3716;3314;3242;3680;4770;4204;3118;;3314;3314;3680;0;6506;0;4750;4750;4210;4210;6506;6506;2802;4404;4114;3680;3904;4770;3862;3314;3862
7;3544;3046;3450;3242;3242;3314;3544;3544;2890;3450;3242;3242;3314;3896;3896;3046;3544;3242;3242;3436;4204;4204;3118;3544;;3242;3680;0;6506;2802;4750;4404;3904;4210;6506;6506;2802;4114;3862;3436;3904;4770;3862;3242;3862
8;3450;3046;3450;3242;3242;3314;3544;3544;2890;3450;3066;3242;3314;3716;3896;3046;3450;3242;3242;3314;4204;3896;3046;3544;3242;;3680;0;6506;2802;4404;4404;3904;3904;6506;6506;2802;4114;3862;3436;3904;4770;3862;3242;3862
9;3450;3046;3450;3242;3242;3314;3450;3450;2890;3450;3066;3242;3242;3716;3716;3046;3450;3242;3242;3314;3896;3896;3046;3544;3242;3242;;0;6506;2802;4114;4404;3680;3904;6506;6506;2802;3862;3862;3436;3680;4770;3730;3242;3730
10;3488;3106;3488;3310;3310;3310;3488;3488;2944;3488;3126;3126;3310;3584;3760;3106;3488;3310;3310;3310;3944;3760;3106;3488;3310;3310;3384;;6608;2802;4244;4244;3764;3764;6608;6608;2802;3980;3980;3384;3764;4258;3840;3310;3840
