Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;1;0;;;;;;1;18;;;;;;;;;;;;;;;;;;;;;0;0;;3;6;1;0;26;0;;;;;0;0;
2;7;2;;;;;;15;20;;;;;;;;;;;;;;;;;;;;0;;0;;11;19;5;0;31;0;;;;;2;0;
3;14;4;;;;;;19;29;;;;;;;;;;;;;;;;;;;;1;;0;;23;24;15;0;32;0;;;;;3;1;
4;14;8;;;;;;20;28;;;;;;;;;;;;;;;;;;;1;1;;1;;42;32;21;2;37;1;;;;;8;2;
5;17;9;;;;;;26;29;;;;;;;;;;;;;;;;;;;1;1;;0;;43;40;26;0;37;0;;;;;10;3;
6;18;16;;;;;;29;31;;;;;;;;;;;;;;;;;;;1;1;0;2;;46;42;28;0;37;2;;;;;11;4;
7;19;20;;;;;;30;33;;;;;;;;;;;;;;;;;;;1;2;0;3;;;48;30;0;33;2;;;;;12;5;
8;21;23;;;;;;30;33;;;;;;;;;;;;;;;;;;;1;1;0;0;;;;37;0;40;2;;;;;10;6;
9;22;29;;;;;;31;33;;;;;;;;;;;;;;;;;;;1;1;0;3;;;;;1;39;5;;;;;12;6;
10;22;29;;;;;;31;36;;;;;;;;;;;;;;;;;;;;1;0;3;;;;;1;41;5;;;;;19;8;
