Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;3804;0;0;3804;0;0;0;3804;4104;;;;;;;;;;;;;;;;;;5504;;0;0;6404;6404;4104;4150;6404;5104;2802;6404;;;;;;;
2;3544;0;0;3544;3544;0;0;3340;4104;;;;;;;;;;;;;;;;;;4704;0;;;6881;6404;3790;4150;6404;5104;2802;0;;;;;;;
3;3340;3790;3804;3544;3544;4069;0;3340;3578;;;;;;;;;;;;;;;;;;4150;;5504;2802;6881;6404;3790;4150;6404;5104;2802;6404;;;;;;;
4;3430;3904;3644;3430;3644;3896;4770;3268;3680;;;;;;;;;;;;;;;;;;4204;0;5586;2802;6993;4750;3904;4204;6506;5252;2802;6993;;;;;;;
5;3268;3680;3430;3430;3430;3896;4770;3118;3436;;;;;;;;;;;;;;;;;;4204;0;5586;0;6506;4750;3904;4204;6506;4210;2802;6993;;;;;;;
6;3268;3436;3430;3268;3268;3716;4770;3118;3314;;;;;;;;;;;;;;;;;;3896;0;5586;0;5061;4404;3904;4204;6506;4210;2802;0;;;;;;;
7;3268;3436;3268;3268;3118;3544;4770;3046;3314;;;;;;;;;;;;;;;;;;3716;;5586;0;6993;4404;3904;3896;6506;4210;2802;0;;;;;;;
8;3118;3314;3268;3118;3118;3544;4204;3046;3242;;;;;;;;;;;;;;;;;;3716;0;5586;2802;6993;4114;3680;3896;6506;4210;2802;6506;;;;;;;
9;3118;3314;3118;3046;3118;3544;4204;3046;3242;;;;;;;;;;;;;;;;;;;0;5586;2802;4750;3862;3436;3716;6506;3904;2802;6506;;;;;;;
10;3180;3384;3180;3106;3180;3488;4258;3106;3310;;;;;;;;;;;;;;;;;;3584;;5668;2802;4816;3980;3510;3760;4816;3998;2802;4816;;;;;;;
