Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;53;40;87;101;86;68;59;88;21;104;91;77;0;61;66;16;74;95;;50;73;66;46;61;92;69;0;;0;0;22;24;33;2;9;120;67;46;68;70;1;39;61;2;76
2;65;51;87;110;98;74;62;90;26;107;93;87;19;62;81;19;79;99;89;;74;75;53;65;95;87;10;;0;2;24;26;35;0;4;120;81;49;74;81;25;46;71;15;84
3;66;60;90;116;98;85;70;92;51;107;96;98;46;74;87;24;105;103;93;64;;76;55;77;95;89;23;;1;6;24;32;45;0;0;123;82;54;80;85;40;63;74;28;96
4;66;68;101;123;100;91;80;92;61;114;95;105;52;86;97;45;117;109;96;64;85;;57;86;80;91;22;;0;6;38;35;65;0;0;124;88;54;87;90;43;66;85;48;110
5;79;78;111;130;104;97;83;93;71;119;102;104;65;89;98;61;127;113;110;68;85;89;;86;82;103;25;;10;14;60;53;74;0;0;128;93;51;102;95;47;73;88;56;114
6;76;96;111;130;107;97;79;93;89;124;112;109;66;93;100;75;132;117;123;69;86;95;72;;82;103;29;;13;19;59;70;97;1;0;135;95;58;115;100;54;79;91;68;122
7;76;96;113;130;109;102;80;97;91;122;117;114;109;93;101;92;135;120;125;75;87;100;75;90;;106;34;;22;28;57;82;107;5;0;135;94;59;116;100;58;83;90;81;122
8;85;106;113;135;109;108;83;99;92;122;126;115;114;98;102;96;135;121;127;89;89;102;75;90;94;;34;0;31;39;77;100;113;6;0;138;98;59;118;101;65;101;96;89;123
9;92;106;113;135;110;108;84;102;94;122;127;116;117;102;108;97;135;121;126;92;96;106;78;90;94;114;;0;32;48;79;113;121;9;2;139;98;59;120;101;73;105;98;89;128
10;94;110;114;137;111;113;84;102;99;123;129;118;120;107;114;109;135;122;134;99;107;108;79;90;95;116;74;;32;58;79;130;122;15;3;139;100;60;121;103;74;111;104;95;131
