Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;2508;5101;2827;2726;2842;3747;3486;2726;4701;1999;2726;3387;5101;0;3175;0;2943;2726;;3747;6001;2842;0;2943;2726;3175;;;0;0;4180;3747;3175;3863;6001;3286;0;6001;3175;2943;3587;0;2726;3347;2842
2;2392;3701;2827;2658;2658;3344;0;2658;4701;1898;2726;3175;4301;6401;2827;0;2943;2658;2726;;0;2827;4701;2827;2726;2943;;;6001;0;4281;3646;3175;3587;5900;3387;0;0;3175;2726;3120;0;2658;3246;2726
3;2340;3701;2472;2658;2658;3168;5900;2658;3701;1898;2658;3074;3747;3587;2658;4600;2658;2658;2726;3269;;2827;0;2658;2658;2726;5501;;0;2515;4180;3445;3175;3486;5900;3175;0;6001;3074;2658;3034;6001;2658;3120;2658
4;2404;3807;2542;2542;2738;3040;4347;2738;3807;1898;2738;2932;3392;6590;2738;3706;2738;2738;2738;3313;6002;;5249;2738;2738;2810;5183;;0;0;4347;3313;3033;3711;6002;3277;2515;6590;3033;2738;3136;6103;2738;3136;2738
5;2404;3501;2542;2542;2738;3040;4347;2738;3501;1898;2738;2932;3212;6103;2738;3807;2738;2738;2738;3141;4347;2738;;2738;2738;2738;4367;;6103;2399;4246;3212;3033;3459;6002;3277;2399;0;2911;2738;3136;4347;2738;3358;2738
6;2404;3277;2542;2386;2738;2946;4347;2738;3277;1898;2738;2810;3212;6103;2738;3501;2738;2562;2738;3040;4347;2738;3501;;2738;2738;4367;;4347;2399;4246;3040;2810;3459;6002;3033;2298;0;2839;2738;3136;4347;2738;3358;2738
7;2404;3277;2386;2386;2562;2946;4001;2562;3277;1898;2738;2738;2946;4347;2738;3501;2562;2562;2562;2946;4001;2738;3501;2738;;2738;3801;;4001;2399;0;3047;2810;3358;6002;2932;2399;6103;2738;2738;3136;4347;2738;3459;2738
8;2276;3277;2386;2386;2562;2946;3711;2276;3277;1898;2562;2738;2946;4001;2738;3501;2562;2562;2562;2946;4001;2738;3277;2562;2562;;3801;;3459;2399;4347;3047;2738;3226;6002;3033;2399;6002;2738;2738;3136;4001;2738;3459;2738
9;2276;3033;2386;2386;2562;2946;3711;2276;2932;1898;2562;2738;2946;3711;2562;3277;2562;2562;2562;2946;3711;2562;3277;2562;2562;2738;;;3327;2399;4347;2946;2738;3136;6103;2810;2399;6103;2738;2738;3008;4001;2562;3237;2738
10;2322;2981;2440;2440;2622;2984;3841;2322;3107;1898;2622;2806;2984;3577;2622;3107;2622;2622;2622;2984;3577;2622;3107;2622;2622;2806;3357;;3437;2399;0;2984;2806;3242;6104;2806;2399;0;2806;2806;3108;3841;2622;3343;2806
