Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;45;48;5;51;34;60;0;42;50;;;;;;;;;;;;;;;;;;42;;0;1;19;19;133;152;39;5;179;2;;;;;;;
2;88;60;12;77;89;102;0;100;59;;;;;;;;;;;;;;;;;;105;0;;;34;31;146;173;47;6;225;2;;;;;;;
3;109;87;54;91;110;149;0;127;103;;;;;;;;;;;;;;;;;;162;;0;0;31;45;153;191;37;10;250;3;;;;;;;
4;113;113;76;117;130;163;25;144;125;;;;;;;;;;;;;;;;;;190;0;0;1;36;55;171;201;36;20;288;4;;;;;;;
5;150;119;105;144;148;170;25;180;149;;;;;;;;;;;;;;;;;;218;0;2;0;38;96;175;215;38;34;312;15;;;;;;;
6;179;160;112;167;165;196;36;188;174;;;;;;;;;;;;;;;;;;271;1;0;0;38;126;175;217;42;44;335;22;;;;;;;
7;189;182;153;170;184;212;52;204;193;;;;;;;;;;;;;;;;;;318;;0;0;32;167;205;230;41;50;357;30;;;;;;;
8;211;200;170;225;188;233;71;218;210;;;;;;;;;;;;;;;;;;320;0;0;135;30;222;240;243;36;74;383;36;;;;;;;
9;225;210;187;235;208;240;87;235;228;;;;;;;;;;;;;;;;;;;0;0;300;29;292;295;293;39;119;399;42;;;;;;;
10;222;225;194;241;214;257;90;240;238;;;;;;;;;;;;;;;;;;401;;0;359;48;359;346;344;49;136;434;48;;;;;;;
