Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;2755;3646;2943;2759;2943;3445;6478;2943;3747;0;2943;3701;0;;4701;5101;0;3175;;;;0;5101;4701;3387;3701;0;;0;;5900;5000;3387;3747;6001;3701;0;0;4947;3701;5101;;3387;5387;4701
2;2755;3747;2827;2658;2759;3269;6401;2759;3747;0;2943;3175;4301;;3701;5000;0;3175;3175;;;3948;5488;4701;3175;3387;0;;0;0;6401;4301;3387;3747;5900;3701;2399;6478;4701;3701;4301;6001;3175;4301;3701
3;2609;3445;2573;2658;2759;2908;4281;2759;3445;0;2726;3074;3747;0;3387;0;3701;2842;3175;3646;;3701;5101;3286;3175;3074;4301;;0;0;4281;4301;3387;3747;5900;3701;2399;0;3701;3387;3747;0;2943;4301;3175
4;2559;3313;2643;2738;2839;2946;4001;2738;3212;1975;2810;2932;3801;6103;3277;5183;3501;2911;3033;3801;6103;;5183;3277;3033;3277;3801;;0;0;6002;3801;3277;3700;6103;3400;2399;6002;3807;3501;3700;6103;2810;4266;3033
5;2404;3313;2542;2562;2839;2946;3711;2738;3141;1999;2738;2932;3493;6103;3277;4266;3277;2810;2911;3392;6103;3277;;3277;2911;2932;3801;;0;0;4347;3700;3277;3392;6002;3400;2399;6002;3807;3277;3801;6103;2738;3801;3033
6;2404;3047;2542;2562;2738;2946;3711;2738;3141;1999;2738;2911;3493;4347;3033;4367;3033;2738;2810;3392;6103;3277;4367;;2911;2810;3493;;0;2399;6590;3493;2932;3392;6002;3501;2399;6590;3501;3176;3493;6503;2738;3801;2810
7;2404;3047;2542;2562;2562;2946;3358;2738;2946;1999;2738;2738;3313;4347;3033;3801;2911;2738;2738;3212;4347;3277;4367;2810;;2810;3313;;0;2399;6103;3493;2911;3313;4347;3176;2399;6002;3400;2932;3392;6503;2738;3801;2738
8;2404;2946;2542;2562;2562;2802;3226;2404;2946;1975;2562;2738;3040;4001;2810;3801;2911;2738;2738;3040;4001;3033;3801;2738;2738;;3313;;0;2399;6590;3313;2839;3313;4246;3176;2399;6103;3277;2810;3212;6503;2738;3493;2738
9;2404;2946;2386;2396;2562;2802;3136;2276;2946;1898;2562;2738;2946;3711;2738;3801;2810;2738;2738;3040;4001;2810;3801;2738;2738;2738;;;0;2399;0;3313;2738;3313;6103;3277;2399;6590;3277;2810;3212;4347;2738;3392;2738
10;2456;2984;2440;2448;2622;2838;3242;2322;2984;1999;2622;2806;2984;3577;2806;3357;2880;2806;2806;2984;3841;2806;3541;2806;2806;2806;3181;;0;2298;4731;3080;2806;3181;4312;3006;2399;6205;3361;2880;3256;4413;2806;3440;2806
