Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;111;242;524;371;291;207;147;370;277;593;430;244;129;43;234;217;603;269;;170;170;136;144;416;277;226;2;;28;57;74;164;136;81;120;157;149;86;359;418;140;180;315;257;449
2;128;282;569;413;344;225;175;429;288;627;489;318;189;95;292;242;630;314;371;;175;189;143;478;281;265;7;2;32;75;77;180;142;30;58;167;160;101;370;420;157;205;330;233;499
3;130;300;614;434;354;242;219;453;343;644;521;352;241;193;376;265;659;360;393;268;;188;204;524;284;275;24;;29;114;77;226;139;38;55;195;161;121;376;422;159;214;348;245;529
4;130;314;639;469;367;257;241;474;353;682;528;378;274;254;404;285;681;434;410;280;281;;212;580;300;279;29;;30;121;81;247;137;44;65;134;140;157;385;425;175;218;356;265;569
5;147;313;677;507;377;265;261;510;374;701;591;391;293;266;439;338;703;478;448;309;296;303;;588;328;292;34;;60;128;99;274;139;71;65;133;141;173;395;428;189;225;363;276;573
6;157;376;687;538;399;275;292;533;399;711;609;445;296;284;449;356;717;511;456;339;305;317;353;;332;312;53;;80;165;102;268;142;74;72;135;141;190;400;434;205;229;361;288;580
7;180;389;749;545;405;277;300;543;411;735;638;463;337;287;457;365;729;551;471;353;305;335;376;650;;316;56;;123;176;114;267;162;106;72;144;142;195;339;452;222;236;381;297;587
8;193;269;754;575;405;290;316;555;413;748;647;480;402;327;469;373;734;564;489;361;318;359;403;667;448;;56;;163;197;131;258;182;134;81;144;144;201;371;456;253;239;389;293;593
9;265;273;634;588;412;290;322;552;422;757;656;514;422;349;476;371;736;586;500;386;335;366;453;679;470;378;;1;178;198;149;263;208;166;86;148;145;204;385;468;278;251;396;297;597
10;277;279;650;609;419;309;325;571;420;769;663;526;452;369;485;382;739;603;506;404;347;374;479;693;490;388;72;;181;203;164;318;232;194;86;150;154;206;415;475;296;255;411;298;601
