Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;;46;57;52;47;30;35;;48;52;50;42;39;24;;52;39;10;;34;2;;51;48;48;67;45;;71;37;56;63;68;35;41;77;50;17;26;29;54;48;;52;36
2;;50;57;53;47;41;44;;48;54;51;49;26;26;;52;39;11;14;;2;;51;49;50;71;48;0;71;41;59;65;68;41;45;77;51;21;26;28;62;50;;55;37
3;;52;57;57;47;46;48;;52;58;51;52;30;27;;54;39;11;16;33;;;51;55;52;73;53;;;53;59;67;70;43;54;79;58;25;28;28;62;56;;59;38
4;;54;58;58;48;47;51;;53;59;51;52;31;31;;54;40;13;16;33;32;;52;59;53;73;57;0;;63;63;67;72;42;60;79;61;23;30;31;62;56;;69;39
5;;52;58;59;49;48;55;;55;59;55;52;33;35;;56;40;18;17;34;35;;;59;56;74;62;;;64;63;72;72;48;60;79;66;22;32;34;62;56;;72;39
6;;36;58;59;52;53;57;;57;60;55;57;33;41;;57;40;19;20;37;37;;54;;56;75;66;;;68;63;72;75;55;60;79;67;26;33;34;63;56;;72;41
7;;36;42;59;54;58;57;;57;61;56;58;40;39;;57;40;20;20;37;39;;54;59;;75;67;;;74;67;73;76;58;60;79;69;27;33;34;63;57;;72;41
8;;36;42;24;54;60;57;;57;61;57;58;40;46;;58;40;20;20;38;39;;54;61;58;;69;;;76;67;76;76;62;61;79;68;25;34;36;64;57;;74;41
9;;40;43;24;20;60;57;;57;61;58;59;40;46;;58;40;20;20;38;41;;54;61;58;76;;;;75;71;78;76;62;63;79;70;25;34;36;67;57;;75;41
10;;40;43;24;21;61;57;;57;61;58;59;40;49;;58;40;20;20;38;45;;55;61;58;76;71;;;78;71;76;76;62;64;79;72;25;34;36;68;59;;75;41
