Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;89;52;135;205;166;127;0;130;84;0;118;37;0;;0;;0;100;;0;;0;1;3;91;52;0;1;0;;10;7;54;64;13;13;0;0;1;39;0;0;24;10;15
2;125;83;162;230;224;170;0;176;94;0;143;102;32;1;14;0;2;118;126;;;6;3;34;113;88;7;;0;;8;15;66;79;15;27;5;0;13;61;47;0;56;13;24
3;163;121;184;249;243;219;55;219;145;2;167;111;83;0;51;0;12;149;126;57;;7;0;55;127;108;42;;0;0;7;27;85;95;15;40;21;0;22;77;62;0;83;22;81
4;173;139;219;286;261;240;95;236;172;5;176;115;101;14;72;5;55;179;134;75;1;;0;89;152;114;65;;0;0;4;40;102;110;16;44;39;6;30;86;68;0;98;39;104
5;213;142;235;297;278;248;118;242;201;17;222;116;117;23;104;18;97;204;155;89;3;69;;93;182;141;81;;0;0;11;73;107;115;10;48;58;7;43;101;75;2;110;49;131
6;225;196;240;309;288;272;134;249;217;43;246;158;121;28;108;39;122;221;173;103;9;76;32;;184;168;108;;0;4;7;91;121;128;10;66;70;6;70;116;94;4;110;64;143
7;244;214;278;309;293;284;158;256;230;72;269;178;159;35;118;54;149;238;189;127;31;88;37;179;;165;130;;1;58;6;116;136;139;11;79;96;7;80;124;108;10;115;70;155
8;256;225;282;320;294;299;176;261;243;90;290;190;169;94;122;71;161;251;203;147;60;100;56;188;220;;134;0;0;138;4;125;166;151;7;93;120;9;85;146;128;16;125;80;170
9;265;250;293;326;307;299;206;269;256;102;295;209;177;128;143;76;169;256;220;155;80;112;66;193;224;212;;0;0;191;2;155;183;172;7;114;131;6;96;148;127;22;131;89;173
10;271;265;297;328;309;319;211;277;267;115;299;245;202;142;175;104;169;261;221;194;115;126;92;209;237;220;203;;0;199;3;164;197;182;3;121;147;5;101;149;128;28;176;96;177
