Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;7309;7309;7309;7309;7309;7309;6533;7422;7422;7422;7422;7422;3999;3999;3999;3999;3999;3999;;8848;10682;7502;6643;6643;6643;6643;6643;;5643;5643;5643;5643;5643;4599;6643;4599;5643;5643;5643;5643;5643;5643;5643;5643;5643
2;7309;7309;7309;7309;7309;7309;6533;7422;7422;7422;7422;7422;7422;3999;3999;3999;3999;3999;3999;;10682;3999;7502;6643;6643;6643;6643;;5643;5643;5643;5643;5643;5643;6643;4599;5643;5643;5643;5643;5643;5643;5643;5643;5643
3;7309;7309;7309;7309;7309;7309;6533;7309;7422;7422;7422;7422;7422;6343;3999;3999;3999;3999;3999;3999;;3999;3999;7502;6643;6643;6643;;5643;5643;5643;5643;5643;5643;6643;4599;5643;5643;5643;5643;5643;5643;5643;5643;5643
4;7309;7309;7309;7309;7309;7309;6533;7309;7309;7422;7422;7422;7422;6643;7422;3999;3999;3999;3999;3999;3999;;3999;3999;7502;6643;6643;;5643;5643;5643;5643;5643;5643;6643;5643;5643;5643;5643;5643;5643;5643;5643;5643;5643
5;7309;7309;7309;7309;7309;7309;6533;7309;7309;7309;7422;7422;7422;6643;7422;7422;3999;3999;3999;3999;3999;3999;;3999;3999;3999;6643;;5643;5643;5643;5643;5643;5643;6643;5643;5643;5643;5643;5643;5643;5643;5643;5643;5643
6;7309;7309;7309;7309;7309;7309;6533;7309;7309;7309;7309;7422;7422;6643;7422;7422;5924;3999;3999;3999;3999;3999;3999;;3999;3999;8125;;5643;5643;5643;5643;5643;5643;6643;5643;5643;5643;5643;5643;5643;5643;5643;5643;5643
7;7309;7309;7309;7309;7309;7309;6533;7309;7309;7309;7309;7309;7422;6643;7422;7422;5924;5924;3999;3999;3999;3999;3999;3999;;3999;8000;;5643;5643;5643;5643;5643;5643;6643;5643;5643;5643;5643;5643;5643;5643;5643;5643;5643
8;7309;7309;7309;7309;7309;7309;6533;7309;7309;7309;7309;7309;7309;6643;7422;7422;5924;5924;7422;3999;3999;3999;3999;3999;3999;;8000;11834;5643;5643;5643;5643;5643;5643;6643;5643;5643;5643;5643;5643;5643;5643;5643;5643;5643
9;7309;7309;7309;7309;7309;7309;6533;7309;7309;7309;7309;7309;7309;6643;7422;7422;5924;5924;7422;7422;3999;3999;3999;3999;3999;3999;;11834;5643;5643;5643;5643;5643;5643;6643;5643;5643;5643;5643;5643;5643;5643;5643;5643;5643
10;7309;7309;7309;7309;7309;7309;6533;7309;7309;7309;7309;7309;7309;6643;7309;7422;5924;5924;7422;7422;6643;3999;3999;3999;3999;3999;8000;;5643;5643;5643;5643;5643;5643;6643;5643;5643;5643;5643;5643;5643;5643;5643;5643;5643
