Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;33;0;11;15;20;3;25;35;0;10;9;0;0;0;17;0;4;19;;6;0;21;0;12;13;3;;;0;0;0;13;14;18;0;0;0;0;7;19;4;0;0;40;8
2;37;0;13;22;30;10;0;36;0;21;13;1;2;0;25;0;8;24;26;;0;28;0;20;14;13;;;0;0;0;23;15;17;0;0;0;0;7;19;10;0;0;45;11
3;38;5;22;24;33;21;1;41;0;26;18;2;3;24;32;1;21;26;32;6;;37;1;32;23;19;2;;0;0;1;25;15;20;1;0;0;1;7;22;18;1;0;59;19
4;40;13;24;32;38;23;1;41;0;39;18;2;3;1;35;1;27;31;33;12;5;;1;37;26;22;3;;0;0;6;28;15;21;2;0;0;1;17;22;20;1;0;69;25
5;43;19;27;35;45;24;2;41;0;42;23;2;4;1;39;8;28;34;35;14;7;45;;37;29;26;3;;0;0;4;27;17;22;1;0;0;1;19;24;22;1;0;20;28
6;43;29;28;38;46;25;2;41;0;43;25;11;4;1;39;11;33;37;42;14;7;45;13;;29;29;2;;0;0;3;28;23;26;1;0;0;1;27;24;23;2;0;21;31
7;43;32;37;39;46;30;1;41;0;43;30;16;9;1;39;15;33;42;45;19;10;45;23;37;;29;3;;0;0;1;28;24;29;1;0;0;1;27;25;23;2;0;27;32
8;44;34;37;42;46;34;2;42;0;44;40;19;15;1;43;18;33;46;45;29;13;47;25;38;38;;3;;0;0;1;36;27;31;3;0;0;1;33;27;29;5;0;27;32
9;46;34;37;43;46;34;3;43;0;44;41;23;22;3;44;19;33;46;45;29;15;47;33;39;42;39;;;0;0;1;39;30;37;3;0;0;1;33;32;38;5;0;30;32
10;46;40;37;43;46;37;3;44;0;44;41;23;26;3;44;24;33;46;45;29;17;49;40;39;43;39;12;;0;0;1;36;30;36;3;0;0;1;37;32;38;5;0;30;32
