Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;;2705;2066;2066;2705;2705;3842;;3441;2066;2608;2608;2846;3842;;2391;2164;2164;;2608;4024;;2608;2164;2164;2608;0;;2451;3371;3632;3371;5060;5060;4591;3808;3371;4614;2460;2460;2460;3762;;2460;2460
2;;2705;2066;2066;2705;2705;3651;;3325;2066;2608;2608;3092;3842;;2391;2164;2164;2164;;4024;;2608;2164;2164;2608;0;6716;3208;2460;3632;3371;3371;5060;4591;3808;3371;4614;2460;2460;2460;2714;;2460;2460
3;;2705;2066;2066;2705;2705;3651;;3325;2066;2608;2608;3092;3709;;2391;2391;2164;2164;2608;;;2608;2164;2164;2608;0;;;3371;2629;3371;3371;5060;6650;3808;3371;4614;2460;2460;2460;2714;;2460;2460
4;;2705;2066;2066;2705;2705;3651;;2066;2066;2608;2608;3092;3709;;2391;2391;2391;2164;2608;2884;;2608;2164;2164;2608;0;7766;;2460;3632;3371;3371;2913;4591;3808;3371;4614;2460;2460;2460;2714;;2460;2460
5;;2705;2066;2066;2705;2705;3651;;2066;2066;2608;2608;3092;3709;;2608;2391;2391;2608;2608;2884;;;2164;2164;2608;0;;;2460;2629;2069;3371;2913;4591;3808;3371;4614;2460;2460;2460;2714;;2460;2460
6;;3047;2066;2066;2705;2705;3520;;2066;2066;2608;2608;3092;3441;;2608;2608;2391;2608;2608;2884;;2608;;2164;2608;0;;;2460;3632;2069;2069;2824;4591;3656;2460;4614;2460;2460;2460;2714;;2460;2460
7;;3047;2021;2066;2705;2705;3107;;2066;2066;2608;2608;3092;3441;;2608;2608;2608;2608;2608;2884;;2608;2164;;2608;3660;;;2460;3632;2069;2069;2824;4591;3656;2460;4614;2460;2460;2460;2714;;2460;2460
8;;3047;2021;2021;2705;2705;3107;;2066;2066;2608;2608;2933;3441;;2608;2608;2608;2608;2608;2884;;2608;2164;2164;;3660;;;2460;2629;2069;2069;2824;4591;3656;2460;4614;2460;2460;2460;2714;;2460;2460
9;;3047;2021;2021;3047;2705;3107;;2066;2066;2608;2608;2933;3389;;2608;2608;2608;2608;2608;2884;;2608;2164;2164;2608;;;;2460;2629;2069;2069;2645;4591;3656;2460;4614;2460;2460;2460;2714;;2460;2460
10;;2021;2021;2021;3047;3047;3107;;2066;2066;2608;2608;2933;3389;;2608;2608;2608;2608;2608;2884;;2608;2608;2164;2608;3226;;;2460;2629;2069;2069;2645;4591;3656;2460;4614;2460;2460;2460;2714;;2460;2460
