Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;16;2;21;15;22;15;6;14;7;20;22;10;2;1;20;8;14;15;;1;2;4;3;10;6;11;1;;5;10;12;15;7;10;3;3;16;5;2;24;17;7;5;6;8
2;18;3;21;17;25;25;11;15;7;21;23;13;6;2;20;10;14;17;21;;2;4;5;11;7;15;1;0;3;8;15;15;7;10;1;5;16;6;3;24;17;9;5;9;12
3;16;6;21;18;25;25;11;17;11;22;23;17;9;5;22;13;18;15;22;9;;4;10;15;9;17;2;;8;10;16;17;13;10;1;5;16;10;3;24;17;10;5;13;13
4;18;17;24;19;25;26;13;17;15;24;23;17;12;5;22;16;19;16;22;9;8;;12;19;15;17;2;;6;10;15;17;13;14;1;5;16;10;6;24;21;12;7;13;13
5;21;19;25;21;25;26;15;17;16;24;24;17;12;7;23;17;19;18;23;9;10;14;;19;16;20;2;;10;10;13;19;13;16;1;5;16;10;9;25;21;12;7;13;15
6;22;21;25;21;25;27;19;17;18;24;24;17;12;7;23;17;19;18;23;13;10;14;16;;17;20;4;;10;10;16;19;15;14;1;7;16;10;11;25;21;13;9;15;17
7;22;21;28;21;25;27;21;17;22;26;22;19;17;7;23;17;21;20;23;16;10;15;18;23;;20;4;;10;12;16;21;15;16;3;9;16;12;11;25;22;13;9;15;17
8;23;21;28;23;25;27;23;17;22;26;22;19;21;5;23;18;23;22;23;16;10;15;18;23;20;;4;;10;12;16;21;17;18;1;11;16;12;15;25;22;13;17;18;17
9;23;21;28;23;25;27;23;24;22;26;22;19;23;5;25;18;23;22;24;17;11;17;20;23;22;21;;0;10;15;16;20;20;18;1;11;16;12;16;25;26;13;19;18;17
10;23;21;28;24;25;27;23;24;22;26;24;21;23;5;25;20;23;24;24;17;10;17;21;23;22;21;8;;10;15;16;20;20;18;1;11;16;12;16;25;26;13;19;18;17
