Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;142;1;165;198;160;89;3;159;0;0;168;65;0;1;80;0;95;188;;10;0;62;0;100;152;91;;;1;0;8;40;87;90;12;48;0;1;88;150;108;3;144;52;134
2;179;4;182;206;212;134;0;199;2;35;177;117;25;0;130;1;117;207;191;;0;106;3;119;163;143;;;1;0;10;64;110;109;8;62;0;3;94;173;164;0;183;77;153
3;203;15;214;215;227;190;0;212;5;60;183;130;103;2;168;0;182;223;205;104;;108;0;138;175;165;10;;0;0;10;84;124;117;15;78;0;2;102;193;183;5;200;91;191
4;216;30;236;248;229;194;15;226;29;183;190;130;114;0;194;6;207;257;209;110;9;;0;183;205;181;21;;0;0;9;93;127;132;16;94;1;0;133;204;187;7;224;99;211
5;247;38;247;279;259;198;25;260;46;203;242;134;125;4;222;19;247;279;231;133;20;211;;184;238;213;29;;0;6;2;135;129;129;13;99;21;0;160;227;193;10;231;116;245
6;265;89;249;290;287;230;39;270;73;217;264;215;135;14;241;40;279;288;273;172;28;221;54;;239;222;65;;9;68;1;154;160;139;22;118;35;2;176;241;224;16;248;127;258
7;276;110;284;291;297;249;68;277;94;235;284;244;178;13;251;60;286;297;292;192;47;240;70;233;;225;93;;34;78;4;170;175;163;16;126;53;0;189;249;245;22;254;137;267
8;279;129;286;318;297;263;86;292;117;243;305;270;203;67;252;85;291;300;301;211;64;271;78;242;284;;94;;97;96;10;193;204;169;12;140;69;1;202;265;259;44;270;153;272
9;290;143;305;322;313;264;110;300;142;249;307;285;231;90;266;91;297;303;308;222;87;280;100;246;287;272;;;118;119;11;208;226;189;16;167;78;1;207;270;271;57;273;167;284
10;292;166;310;324;318;277;113;310;155;264;307;287;254;105;269;130;298;304;313;243;96;281;123;252;289;275;142;;126;136;0;222;238;207;15;177;107;2;216;276;276;65;279;179;290
