Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;;6176;6176;6176;6176;5270;5643;;6267;5068;5068;6267;6780;5643;;6359;5068;7407;;6883;5643;;6451;5068;6451;6451;7405;;4993;4773;5643;4773;6267;4773;4599;4599;4773;7859;6780;6780;6267;7551;;4773;6267
2;;6176;6176;6176;6176;5270;5643;;6267;5068;5068;6267;6780;5643;;6267;5068;7407;6883;;5643;;6451;5068;6451;6451;7405;0;6498;4773;5643;4773;6267;4773;4599;4599;4773;5086;6780;6780;6267;7551;;4773;6267
3;;6176;6176;6176;6176;5270;5643;;6267;5068;5068;6267;6267;5643;;6267;5068;7407;6883;6359;;;6359;5068;6451;6451;7405;;;4773;5643;4773;6267;4773;7492;4599;4773;5086;4773;6780;6267;6960;;4773;6267
4;;6176;6176;6176;6176;5270;5643;;6176;5068;5068;6267;6267;5643;;6267;5068;6780;6883;6359;5643;;6359;5068;6451;6451;6829;0;;4773;5643;4773;6267;4773;7492;6267;4773;5086;4773;4773;6267;6960;;4773;6267
5;;6176;6176;6176;6176;5270;5643;;6176;5068;5068;6267;6267;5643;;6267;5068;6267;6267;6359;5643;;;5068;6359;6451;6829;;;4773;5643;4773;6267;4773;7492;6267;4773;5086;4773;4773;6267;6960;;4773;6267
6;;6176;6176;6176;6176;5270;5643;;6176;5068;5068;6267;6267;5643;;6267;5068;6267;6267;6267;5643;;6359;;6359;6359;6829;;;4773;5643;4773;6267;4773;7492;6267;4773;5086;4773;4773;6267;6960;;4773;6267
7;;6176;6176;6176;6176;5270;5643;;6176;5068;5068;6176;6267;5643;;6267;5068;6267;6267;6267;5643;;6359;5068;;6359;6729;;;4773;5643;4773;6267;4773;7492;6267;4773;5086;4773;4773;6267;6960;;4773;6267
8;;6176;6176;6176;6176;5270;5643;;6176;5068;5068;6176;6176;5643;;6267;5068;6267;6267;6267;5643;;6359;5068;6359;;6729;;;4773;5643;4773;6267;4773;7492;6267;4773;5086;4773;4773;6267;6960;;4773;6267
9;;6176;6176;6176;6176;5270;5643;;6176;5068;5068;6176;6176;5643;;6267;5068;6267;6267;6267;5643;;6267;5068;6359;6359;;;;4773;5643;4773;6267;4773;7492;6267;4773;5086;4773;4773;6267;6960;;4773;6267
10;;6176;6176;6176;6176;6176;5643;;6176;5068;5068;6176;6176;5643;;6267;5068;6267;6267;6267;5643;;6267;5068;6359;6359;6729;;;4773;5643;4773;6267;4773;7492;6267;4773;5086;4773;4773;6267;6960;;4773;6267
